"query","search interest","increase percent"
"damar hamlin",4,"Breakout"
"gaza",2,"2,400%"
"damar hamlin update",1,"2,250%"
"bud light",1,"1,700%"
"travis kelce",2,"1,500%"
"vivek ramaswamy",0,"1,450%"
"first republic bank",1,"1,450%"
"chatgpt",1,"1,400%"
"palestine",3,"950%"
"matthew perry",1,"700%"
"chat gpt",0,"650%"
"government shutdown",1,"600%"
"bryan kohberger",1,"450%"
"israel",11,"400%"
"israel news",1,"350%"
"ai",6,"350%"
"chris christie",0,"350%"
"taylor swift",6,"300%"
"military news",1,"250%"
"shohei ohtani",0,"250%"
"ufo",2,"170%"
"kevin mccarthy",1,"160%"
"lamar jackson",1,"120%"
"messi",2,"120%"
"cybertruck",0,"110%"
"desantis",3,"110%"
"layoffs",4,"110%"
"ron desantis",1,"110%"
"artificial intelligence",1,"110%"
"aaron rodgers",1,"100%"
"buffalo bills",1,"90%"
"eagles",3,"80%"
"derrick henry",0,"80%"
"detroit lions",1,"70%"
"chiefs",3,"70%"
"xrp",1,"70%"
"weather today",1,"60%"
"britney spears",1,"60%"
"miami heat",1,"50%"
"lebron james",1,"50%"
"prince harry",2,"50%"
"nvidia",1,"50%"
"turkey",2,"40%"
"real madrid",1,"40%"
"wwe",4,"40%"
"wwe news",0,"40%"
"tesla",5,"40%"
"philadelphia eagles",1,"40%"
"lakers",3,"40%"
"donald trump",2,"40%"
