date,zika virus,brexit,rodrigo duterte,egyptair,ryan lochte,isPartial,pokemon go,aleppo,mike pence,overwatch,mosul,isPartial,david bowie,wikileaks,michael phelps,flint,colin kaepernick,isPartial,brad pitt,ahok,trump news,dilma rousseff,iphone 7,isPartial,doctor strange,macbook pro,john kasich,conor mcgregor,trump,isPartial,ghostbusters,donald trump,brussels,kevin durant,suicide squad,isPartial,horse racing,social media,michelle obama,clinton email,clinton,isPartial,prince,sanders,persib,bernie sanders,tesla motors,isPartial,hillary clinton,pokemon,israel news,maria sharapova,black lives matter,isPartial,ibm,stephen curry,ted cruz,south china sea,marco rubio,isPartial
2015-12-27,0,0,0,0,0,False,0,0,0,0,0,False,1,0,0,1,0,False,2,0,0,0,3,False,0,1,0,0,3,False,1,4,1,0,1,False,1,1,0,0,5,False,6,2,0,1,0,False,0,6,0,0,0,False,21,23,9,1,4,False
2016-01-03,0,0,0,0,0,False,0,0,0,0,0,False,2,0,0,1,0,False,2,0,0,0,4,False,0,1,0,0,3,False,1,5,1,0,1,False,1,2,0,0,5,False,6,2,0,1,0,False,0,5,0,0,0,False,31,19,16,1,5,False
2016-01-10,1,0,0,0,0,False,0,0,0,0,0,False,100,0,0,2,0,False,2,0,0,0,4,False,0,1,0,0,3,False,1,6,1,0,1,False,1,2,1,0,6,False,6,3,0,2,0,False,0,5,0,0,0,False,32,16,29,1,7,False
2016-01-17,3,0,0,0,0,False,0,0,0,0,0,False,11,0,0,5,0,False,2,0,1,0,3,False,0,1,0,0,4,False,1,6,1,0,5,False,1,2,1,0,7,False,6,4,1,3,0,False,1,5,0,0,0,False,36,19,23,1,8,False
2016-01-24,13,0,0,0,0,False,0,0,0,0,0,False,5,0,0,3,0,False,2,0,1,0,3,False,0,1,0,0,6,False,0,8,1,0,2,False,1,2,0,0,6,False,6,4,1,3,0,False,1,5,0,0,0,False,34,22,25,1,11,False
2016-01-31,17,0,0,0,0,False,0,0,0,0,0,False,4,0,0,2,0,False,1,0,1,0,4,False,0,1,0,0,5,False,1,8,2,1,1,False,1,2,0,0,12,False,5,7,1,6,0,False,1,6,0,0,0,False,36,21,81,1,37,False
2016-02-07,8,0,0,0,0,False,0,0,0,0,0,False,3,0,0,2,0,False,1,0,1,0,4,False,0,1,0,0,5,False,1,8,1,1,1,False,1,3,0,0,10,False,6,9,1,7,0,False,1,6,0,0,0,False,33,25,41,1,29,False
2016-02-14,5,1,0,0,0,False,0,0,0,0,0,False,4,0,0,2,0,False,1,1,1,0,4,False,0,1,0,0,5,False,1,8,2,0,1,False,1,3,0,0,7,False,6,5,1,3,0,False,1,6,0,0,0,False,33,22,41,2,21,False
2016-02-21,4,1,0,0,0,False,0,0,0,0,0,False,3,0,0,2,0,False,2,0,1,0,8,False,0,1,0,1,10,False,0,13,1,0,1,False,1,3,1,0,9,False,5,5,1,4,0,False,1,7,0,0,0,False,36,23,46,2,43,False
2016-02-28,3,1,0,0,0,False,0,0,0,0,0,False,2,0,0,2,0,False,2,1,2,0,6,False,0,1,0,1,15,False,2,21,2,1,1,False,1,3,0,0,13,False,5,6,1,5,0,False,2,8,0,0,0,False,36,51,64,2,43,False
