date,hurricane dorian,jussie smollett,notre dame fire,mad cow,avengers endgame,isPartial,pete buttigieg,lori loughlin,cameron boyce,andrew yang,disney plus,isPartial,mad cow disease,nipsey hussle,jeffrey epstein,antonio brown,mueller report,isPartial,r kelly,biden,impeachment,joe biden,hong kong,isPartial,香港,boris johnson,kamala harris,game of thrones,bernie sanders,isPartial,wework,trump impeachment,notre dame,brexit,venezuela news,isPartial,huawei,kevin durant,melvin gordon,venezuela,ukraine,isPartial,climate change,recession,bryce harper,beto o'rourke,boeing,isPartial,michael jackson,phillies,news today,pakistan,shutdown,isPartial,iran news,earthquake,india,tottenham,iran,isPartial
2018-12-30,0,0,0,0,2,False,0,0,0,0,0,False,0,0,0,6,0,False,23,1,1,1,17,False,5,0,0,10,0,False,0,0,3,2,0,False,58,1,0,27,3,False,3,1,2,1,7,False,7,1,15,29,20,False,0,1,68,3,2,False
2019-01-06,0,0,0,0,1,False,0,0,0,0,0,False,0,0,0,3,0,False,61,1,1,1,17,False,5,0,1,9,0,False,0,0,1,3,0,False,54,1,0,39,3,False,4,2,3,1,8,False,6,1,15,28,34,False,0,1,63,3,3,False
2019-01-13,0,0,0,0,1,False,0,0,0,0,0,False,0,0,0,2,0,False,19,1,1,1,16,False,5,0,1,11,0,False,0,0,1,10,0,False,49,1,0,39,3,False,4,2,3,1,8,False,7,2,15,29,34,False,0,2,68,4,3,False
2019-01-20,0,0,0,0,1,False,0,0,0,0,0,False,0,0,0,1,0,False,8,1,1,1,16,False,5,0,5,8,1,False,0,0,1,4,1,False,48,1,0,81,3,False,5,2,3,1,8,False,7,1,15,31,36,False,0,1,68,4,3,False
2019-01-27,0,13,0,0,1,False,0,0,0,0,0,False,0,0,0,1,0,False,4,1,1,1,15,False,5,0,4,8,1,False,0,0,1,4,1,False,51,1,0,66,3,False,5,2,5,0,8,False,8,2,15,32,9,False,0,1,63,3,3,False
2019-02-03,0,2,0,0,3,False,0,0,0,0,0,False,0,0,0,1,0,False,4,1,0,1,14,False,4,0,1,9,1,False,0,0,1,4,0,False,48,1,0,58,3,False,5,2,4,1,9,False,7,2,15,28,4,False,0,2,65,1,2,False
2019-02-10,0,4,0,0,2,False,0,0,0,0,0,False,0,0,0,3,0,False,4,1,0,1,15,False,5,0,1,9,0,False,0,0,1,3,0,False,48,1,0,46,3,False,6,2,6,3,9,False,7,2,17,32,7,False,0,1,59,5,2,False
2019-02-17,0,29,0,0,1,False,0,0,0,0,0,False,0,0,0,2,0,False,12,2,0,1,16,False,6,0,1,8,5,False,0,0,1,3,0,False,51,1,0,60,3,False,5,1,15,1,9,False,7,3,17,44,2,False,0,2,63,2,2,False
2019-02-24,0,6,0,0,2,False,0,0,0,0,0,False,0,0,0,1,0,False,12,1,1,1,16,False,5,0,1,10,2,False,0,0,1,3,1,False,54,1,0,58,3,False,6,2,25,1,9,False,9,5,26,100,2,False,0,2,89,3,2,False
2019-03-03,0,3,0,0,4,False,0,0,0,0,0,False,0,0,0,9,0,False,23,1,1,1,16,False,5,0,0,15,1,False,0,0,1,3,0,False,50,1,0,33,3,False,6,2,5,1,8,False,29,3,14,40,2,False,0,1,72,4,2,False
2019-03-10,0,2,0,0,11,False,0,12,0,1,0,False,0,0,0,7,0,False,12,2,1,2,16,False,5,0,0,12,1,False,0,0,1,9,0,False,49,1,0,41,3,False,8,2,2,9,100,False,23,2,16,32,2,False,0,1,72,2,2,False
2019-03-17,0,1,0,0,8,False,1,3,0,0,0,False,0,0,0,1,4,False,4,3,1,2,17,False,6,0,0,13,1,False,0,0,1,8,0,False,49,2,0,46,4,False,6,2,2,7,29,False,15,2,14,34,1,False,0,1,54,1,2,False
2019-03-24,0,9,0,0,10,False,1,1,0,0,0,False,0,0,0,1,6,False,3,2,1,1,16,False,5,0,0,15,1,False,0,0,1,10,0,False,61,1,0,34,4,False,6,2,2,1,20,False,10,5,14,33,1,False,0,1,57,2,2,False
2019-03-31,0,3,0,0,18,False,1,1,0,0,0,False,0,100,0,0,1,False,2,9,0,6,16,False,5,0,0,23,1,False,0,0,2,8,0,False,57,1,0,30,5,False,6,2,5,1,18,False,9,8,13,31,2,False,0,1,57,4,2,False
2019-04-07,0,2,0,0,12,False,1,2,0,0,1,False,0,33,0,1,1,False,2,3,0,2,16,False,5,0,0,37,1,False,0,0,2,6,0,False,56,1,0,32,3,False,6,2,1,1,15,False,8,6,13,28,1,False,0,1,52,6,2,False
2019-04-14,0,1,27,0,17,False,2,2,0,0,1,False,0,10,0,0,11,False,2,2,1,1,17,False,5,0,0,100,2,False,0,0,100,2,0,False,58,2,0,25,4,False,7,2,1,1,13,False,7,6,13,29,1,False,0,1,57,10,2,False
2019-04-21,0,1,1,0,90,False,1,1,0,0,0,False,0,4,0,1,3,False,1,9,1,7,16,False,5,0,0,62,1,False,0,0,6,2,0,False,58,2,0,29,6,False,8,1,2,1,12,False,7,5,16,28,1,False,0,5,56,4,2,False
2019-04-28,0,1,0,0,69,False,1,1,0,0,0,False,0,3,0,0,1,False,1,6,1,4,16,False,6,0,1,82,1,False,0,0,3,2,1,False,53,2,0,61,3,False,8,2,1,1,13,False,6,4,14,28,1,False,0,1,56,10,2,False
2019-05-05,0,1,0,0,30,False,0,0,0,0,0,False,0,2,0,0,1,False,1,4,1,2,15,False,5,0,0,62,1,False,0,0,2,2,0,False,52,8,0,37,3,False,7,1,1,0,12,False,6,4,14,29,1,False,0,1,53,20,3,False
