datetime,kavanaugh_intensity,hurricane florence_intensity,fortnite_intensity,mollie tibbetts_intensity,michael cohen_intensity,avengers 4_intensity,anthony bourdain_intensity,dez bryant_intensity,black panther_intensity,kate spade_intensity,world cup 2018_intensity,cohen_intensity,xxxtentacion_intensity,le'veon bell_intensity,government shutdown_intensity,mega millions_intensity,red dead redemption 2_intensity,meghan markle_intensity,kawhi leonard_intensity,cryptocurrency_intensity,manafort_intensity,avengers infinity war_intensity,mueller_intensity,demi lovato_intensity,dow jones_intensity,mueller investigation_intensity,ripple_intensity,tsunami_intensity,hawaii_intensity,kanye west_intensity,robert mueller_intensity,weather radar_intensity,khloe kardashian_intensity,kingdom hearts 3_intensity,lebron james_intensity,local news_intensity,shooting_intensity,lakers_intensity,stock market_intensity,markelle fultz_intensity,cleveland browns_intensity,nafta_intensity,eagles_intensity,nicki minaj_intensity,red sox_intensity,kate middleton_intensity,netflix_intensity,instagram_intensity,news today_intensity
2018-01-01,0.0008,0.0,0.0016,0.0,0.0016,0.0008,0.0027,0.0059,0.0158,0.0011,0.0005,0.062,0.0013,0.0301,0.0623,0.0236,0.0016,0.0298,0.0038,0.0496,0.0166,0.0166,0.0845,0.004,0.0158,0.026,0.0233,0.022,0.1642,0.0145,0.0572,0.0021,0.0075,0.0011,0.0182,0.0894,1.7057,0.0569,0.2914,0.0005,0.0762,0.026,0.1916,0.004,0.0123,0.0502,0.1234,0.7951,0.0102
2018-01-02,0.0006,0.0,0.003,0.0,0.0006,0.0006,0.0112,0.0031,0.0171,0.0008,0.0,0.0527,0.0004,0.0089,0.187,0.0358,0.0016,0.0305,0.0057,0.0915,0.0264,0.0187,0.1826,0.0419,0.1407,0.0242,0.062,0.0553,0.1521,0.1427,0.1539,0.0016,0.0063,0.0004,0.0179,0.1494,0.8575,0.0431,0.1895,0.0045,0.0331,0.0323,0.1112,0.0327,0.0144,0.0081,0.2153,1.0282,0.0209
2018-01-03,0.0013,0.0,0.0011,0.0,0.0051,0.0011,0.0016,0.0034,0.0155,0.0011,0.0,0.1637,0.0014,0.0013,0.0763,0.0774,0.0019,0.0519,0.0155,0.0918,0.2183,0.0091,0.2994,0.0037,0.1491,0.1103,0.0785,0.0667,0.1411,0.0574,0.2473,0.0042,0.0343,0.0,0.0295,0.1826,0.7987,0.0321,0.2066,0.0022,0.0284,0.0191,0.0742,0.0309,0.0272,0.0082,0.1675,0.8471,0.0295
2018-01-04,0.0008,0.0,0.0023,0.0,0.0048,0.0013,0.0018,0.0015,0.0914,0.0013,0.0003,0.0883,0.0008,0.0068,0.0786,0.1013,0.001,0.074,0.0071,0.0985,0.2492,0.0142,0.371,0.0382,0.2758,0.0942,0.1003,0.0664,0.1886,0.0995,0.3025,0.0092,0.0443,0.0,0.0262,0.124,0.7304,0.0631,0.2427,0.0018,0.018,0.0185,0.1333,0.0586,0.017,0.0071,0.1946,0.6667,0.0285
2018-01-05,0.0013,0.0,0.0024,0.0,0.0022,0.0017,0.011,0.0015,0.0458,0.0015,0.0007,0.0653,0.0006,0.0076,0.0445,0.1221,0.0006,0.0744,0.0024,0.0806,0.0674,0.0084,0.3169,0.0447,0.2938,0.0873,0.0886,0.0346,0.1424,0.0136,0.2745,0.0019,0.0249,0.0002,0.0147,0.1258,0.7699,0.0251,0.2907,0.0011,0.0182,0.0333,0.118,0.0395,0.0106,0.008,0.3361,0.4933,0.0294
2018-01-06,0.0016,0.0,0.0025,0.0,0.0146,0.0021,0.0021,0.0016,0.0317,0.0002,0.0002,0.1188,0.0005,0.0042,0.0428,0.3008,0.0009,0.0188,0.0169,0.063,0.0586,0.0125,0.3128,0.0065,0.0739,0.0711,0.035,0.0516,0.122,0.0218,0.2834,0.0028,0.0197,0.0002,0.0188,0.0852,0.7432,0.0674,0.1285,0.0025,0.032,0.0526,0.1308,0.0081,0.0174,0.0039,0.3105,0.3635,0.0218
2018-01-07,0.0003,0.0,0.0163,0.0,0.0009,0.0044,0.0021,0.0009,0.0101,0.0,0.0,0.0651,0.0003,0.0027,0.1511,0.462,0.0009,0.029,0.0065,0.047,0.1636,0.0095,0.1284,0.003,0.0254,0.0266,0.0405,0.0245,0.1083,0.0092,0.1014,0.0021,0.0216,0.0009,0.0186,0.0695,0.6389,0.0355,0.0802,0.0024,0.0328,0.0432,0.1201,0.0027,0.0086,0.0047,0.1269,0.3585,0.0151
2018-01-08,0.001,0.0,0.0066,0.0,0.001,0.0082,0.001,0.0006,0.0697,0.0015,0.001,0.1388,0.0003,0.0021,0.0291,0.0864,0.0006,0.0173,0.0144,0.0877,0.2195,0.0126,0.1413,0.0034,0.1192,0.0259,0.0461,0.0241,0.1388,0.0336,0.12,0.0023,0.012,0.0,0.0162,0.0713,0.5526,0.0416,0.1378,0.0003,0.0469,0.0482,0.0702,0.0023,0.0081,0.0354,0.3904,0.4936,0.0244
2018-01-09,0.0011,0.0,0.0014,0.0,0.0005,0.0019,0.0008,0.0008,0.0452,0.003,0.0011,0.0508,0.0,0.0021,0.083,0.0106,0.0005,0.0767,0.0051,0.0974,0.0594,0.0099,0.195,0.0043,0.1086,0.0268,0.058,0.0157,0.1514,0.0279,0.1428,0.0016,0.0191,0.0005,0.0469,0.0998,0.6686,0.0314,0.1535,0.0006,0.0101,0.0463,0.0689,0.0067,0.0087,0.0191,0.129,0.4198,0.0268
2018-01-10,0.0016,0.0,0.0043,0.0,0.064,0.0065,0.0006,0.0008,0.0464,0.0014,0.0002,0.1146,0.0016,0.0036,0.1315,0.0077,0.0008,0.0904,0.0055,0.1257,0.0547,0.0189,0.1572,0.003,0.0932,0.0566,0.0525,0.1691,0.1386,0.0164,0.1364,0.0008,0.0468,0.0002,0.0514,0.1028,0.5922,0.0281,0.1711,0.0022,0.0155,0.0672,0.0754,0.0244,0.0101,0.0139,0.1353,0.5963,0.0263
