datetime,hurricane ian_intensity,wordle_intensity,monkeypox_intensity,ukraine news_intensity,ukraine war_intensity,zelensky_intensity,chris rock_intensity,ukraine_intensity,washington commanders_intensity,kherson_intensity,brittney griner_intensity,hurricane ian tracker_intensity,ukraine russia_intensity,russia ukraine_intensity,putin_intensity,russian economy_intensity,will smith_intensity,recession_intensity,iphone 14_intensity,world cup_intensity,amber heard_intensity,johnny depp_intensity,russia_intensity,elon musk twitter_intensity,russia news_intensity,vladimir putin_intensity,abortion_intensity,tyrann mathieu_intensity,queen elizabeth_intensity,inflation_intensity,traductor_intensity,poland_intensity,supreme court_intensity,mega millions_intensity,kanye west_intensity,powerball numbers_intensity,elon musk_intensity,phillies_intensity,lauren boebert_intensity,student loan forgiveness_intensity,antonio brown_intensity,housing market_intensity,student loans_intensity,odell beckham jr_intensity,taiwan_intensity,real madrid_intensity,north korea_intensity,tom brady_intensity
2022-01-01,0.0,0.0,0.0007,0.0,0.0007,0.0194,0.0007,0.257,0.0,0.0,0.0,0.0,0.01,0.1158,0.3239,0.0013,0.0154,0.0489,0.0,0.0475,0.002,0.0033,0.5495,0.0,0.0007,0.2737,0.1439,0.0007,0.0877,0.3587,0.0,0.1968,0.4892,0.0134,0.0321,0.0094,0.0723,0.0027,0.008,0.0,0.0013,0.0355,0.012,0.0054,0.0964,0.0087,0.1245,0.0161
2022-01-02,0.0,0.0,0.0006,0.0,0.0,0.0037,0.0006,0.1322,0.0,0.0,0.0,0.0,0.0304,0.0186,0.1049,0.0,0.0093,0.059,0.0025,0.031,0.0006,0.0155,0.3625,0.0,0.0006,0.0826,0.085,0.0006,0.0335,0.3427,0.0,0.0565,0.3513,0.0106,0.0236,0.005,0.0584,0.0056,0.0056,0.0056,0.0329,0.031,0.0106,0.0056,0.0788,0.0279,0.1366,0.0751
2022-01-03,0.0,0.0008,0.0,0.0,0.0004,0.0561,0.0068,0.2866,0.0,0.0,0.0,0.0,0.0463,0.035,0.1898,0.0038,0.0215,0.0787,0.006,0.0478,0.0008,0.0008,0.456,0.0,0.0,0.1777,0.1081,0.0056,0.0343,0.5427,0.0,0.142,0.4873,0.0102,0.0448,0.0218,0.0723,0.0038,0.0056,0.0079,0.2448,0.0267,0.023,0.0294,0.1544,0.0109,0.0704,0.1597
2022-01-04,0.0,0.0021,0.0006,0.0,0.0003,0.0078,0.003,0.1375,0.0003,0.0003,0.0,0.0,0.0108,0.0321,0.081,0.0021,0.0258,0.1372,0.0018,0.042,0.0006,0.0012,0.465,0.0006,0.0006,0.0627,0.1384,0.0015,0.0435,0.4638,0.0,0.1372,0.4524,0.015,0.0441,0.015,0.1198,0.0054,0.006,0.0027,0.0549,0.0958,0.0165,0.0036,0.2581,0.0039,0.0324,0.0459
2022-01-05,0.0,0.002,0.0003,0.0,0.0014,0.0057,0.0026,0.1436,0.0,0.0,0.0003,0.0,0.0212,0.0342,0.0942,0.0026,0.019,0.0672,0.0006,0.0362,0.0006,0.0037,0.4298,0.0,0.0106,0.0764,0.1361,0.0006,0.0471,0.454,0.0,0.0959,0.4548,0.0158,0.1516,0.0155,0.048,0.0029,0.0075,0.004,0.0164,0.0345,0.0261,0.0034,0.1275,0.0043,0.1169,0.0256
2022-01-06,0.0,0.0018,0.0,0.0003,0.0006,0.0018,0.0012,0.1524,0.0,0.0,0.0,0.0,0.0157,0.0376,0.0876,0.0018,0.0217,0.0861,0.0027,0.0262,0.0009,0.0009,0.6115,0.0,0.012,0.0708,0.0864,0.0012,0.0479,0.5194,0.0,0.0982,0.5766,0.0169,0.0741,0.0259,0.0283,0.0021,0.0214,0.0018,0.2048,0.0617,0.0072,0.003,0.1825,0.0054,0.1141,0.0298
2022-01-07,0.0,0.0034,0.0,0.0006,0.0,0.0111,0.0006,0.2093,0.0,0.0,0.0003,0.0,0.0108,0.056,0.149,0.0043,0.1459,0.1521,0.0025,0.0569,0.0006,0.0043,0.6184,0.0003,0.0511,0.1262,0.177,0.0006,0.0551,0.7197,0.0,0.1619,0.9946,0.0065,0.1431,0.0071,0.0508,0.0068,0.0068,0.008,0.092,0.0582,0.0197,0.0043,0.1539,0.0049,0.0967,0.0363
2022-01-08,0.0,0.0046,0.0,0.0014,0.0,0.0023,0.0005,0.2874,0.0,0.0,0.0,0.0,0.0074,0.0607,0.2253,0.0046,0.2074,0.1637,0.0018,0.1398,0.0,0.0009,0.6327,0.0,0.0106,0.1839,0.0736,0.0,0.0372,0.4161,0.0,0.0892,0.7554,0.0069,0.0607,0.0156,0.0533,0.0037,0.0143,0.006,0.0244,0.0589,0.0152,0.0032,0.1053,0.0074,0.0768,0.0212
2022-01-09,0.0,0.0065,0.0,0.0005,0.0011,0.0087,0.0005,0.4328,0.0,0.0,0.0,0.0,0.0256,0.0642,0.2717,0.0169,0.0855,0.1094,0.0016,0.0659,0.0,0.0005,0.631,0.0,0.0049,0.2548,0.1339,0.0005,0.098,0.3299,0.0,0.0675,0.3266,0.0076,0.0207,0.0082,0.018,0.0038,0.0071,0.0005,0.0131,0.0174,0.0196,0.0027,0.0544,0.0158,0.0871,0.0289
2022-01-10,0.0,0.0018,0.0003,0.0003,0.0012,0.0088,0.0024,0.3768,0.0,0.0003,0.0,0.0,0.0982,0.0758,0.2674,0.0357,0.1632,0.0541,0.0024,0.0287,0.0,0.0006,0.6307,0.0,0.016,0.2321,0.1381,0.0003,0.036,0.5591,0.0,0.1154,0.4219,0.0054,0.0369,0.1163,0.039,0.0027,0.0094,0.0054,0.0151,0.0426,0.0175,0.0094,0.0982,0.0082,0.0798,0.1055
2022-01-11,0.0,0.005,0.0,0.0008,0.0006,0.0022,0.0124,0.2211,0.0,0.0,0.0,0.0,0.027,0.0459,0.1279,0.0052,0.0498,0.1185,0.0014,0.0586,0.0,0.0028,0.5646,0.0003,0.0003,0.1026,0.1339,0.0003,0.0168,0.6146,0.0,0.1147,0.5255,0.005,0.0646,0.0088,0.0924,0.0039,0.0176,0.0096,0.0528,0.0418,0.0201,0.0025,0.1279,0.0063,0.2219,0.0336
2022-01-12,0.0,0.0514,0.0,0.0003,0.0008,0.0073,0.0129,0.2482,0.0,0.0003,0.0,0.0,0.0261,0.077,0.1873,0.0013,0.1036,0.2807,0.0038,0.0414,0.0,0.0016,0.5706,0.0003,0.0003,0.162,0.1077,0.0005,0.0598,0.7628,0.0,0.1496,0.5095,0.0038,0.1373,0.0113,0.0285,0.0288,0.0046,0.0081,0.0606,0.0318,0.0188,0.0016,0.1093,0.011,0.0775,0.0651
