datetime,hurricane milton_intensity,jd vance_intensity,tim walz_intensity,kamala harris_intensity,vance_intensity,trump shot_intensity,olympics_intensity,diddy_intensity,milton_intensity,iphone 16_intensity,liam payne_intensity,presidential polls_intensity,election results_intensity,p diddy_intensity,sean combs_intensity,harris_intensity,bird flu_intensity,election_intensity,houthis_intensity,boeing_intensity,iran israel_intensity,hezbollah_intensity,israel iran_intensity,trump_intensity,jay z_intensity,nvidia_intensity,nvidia stock_intensity,hurricane_intensity,kate middleton_intensity,rfk jr_intensity,donald trump_intensity,lebanon_intensity,venezuela_intensity,ben affleck_intensity,intel_intensity,spacex_intensity,drake_intensity,democrats_intensity,melania trump_intensity,joe biden_intensity,syria_intensity,taylor swift travis kelce_intensity,biden_intensity
2024-01-01,0.0,0.0022,0.009,0.0213,0.0191,0.0,0.213,0.0056,0.0269,0.0045,0.0,0.0022,0.0471,0.0,0.0011,0.1884,0.0034,0.8398,0.1144,0.0325,0.0022,0.1132,0.0022,0.6638,0.0022,0.0258,0.0,0.046,0.0011,0.0011,0.5741,0.1054,0.0617,0.0078,0.0179,0.0135,0.0583,0.3924,0.0034,0.4339,0.0908,0.0258,0.6951
2024-01-02,0.0,0.0,0.0053,0.0246,0.0106,0.0009,0.1038,0.0114,0.0405,0.0088,0.0,0.0018,0.0299,0.0,0.0026,0.2084,0.0035,0.8804,0.0545,0.0387,0.0009,0.1785,0.0026,0.7705,0.0123,0.066,0.0044,0.0501,0.0018,0.0018,0.65,0.219,0.0888,0.0123,0.0273,0.0229,0.0466,0.3439,0.0062,0.6385,0.0915,0.007,0.8927
2024-01-03,0.0,0.0014,0.0064,0.0906,0.0086,0.0,0.0685,0.0121,0.0335,0.005,0.0,0.0014,0.0293,0.0007,0.0021,0.3055,0.0036,1.0514,0.0814,0.0771,0.0043,0.2855,0.0064,1.3069,0.0071,0.0906,0.0057,0.0857,0.0064,0.0043,1.0164,0.3398,0.0942,0.0221,0.0757,0.0542,0.0571,0.5846,0.0029,0.7031,0.1092,0.005,1.1228
2024-01-04,0.0,0.0012,0.0047,0.0297,0.0181,0.0006,0.0588,0.0146,0.0204,0.0058,0.0,0.0064,0.0536,0.0076,0.0017,0.1916,0.0058,1.0656,0.1817,0.0477,0.0128,0.2172,0.0146,1.358,0.0058,0.0641,0.0047,0.0658,0.0012,0.0058,1.1454,0.2644,0.0652,0.0606,0.0588,0.0576,0.0472,0.499,0.0047,0.7384,0.1823,0.0023,1.263
2024-01-05,0.0,0.0013,0.0031,0.0481,0.0263,0.0,0.1557,0.0263,0.0175,0.0063,0.0,0.005,0.0913,0.0038,0.0,0.197,0.0044,1.223,0.1025,0.0406,0.0013,0.1338,0.0069,1.5,0.0044,0.0413,0.0025,0.0413,0.0031,0.0056,1.2593,0.1551,0.0688,0.0175,0.0419,0.0431,0.04,0.5158,0.0019,0.8879,0.1394,0.0088,1.4112
2024-01-06,0.0,0.0043,0.0029,0.0934,0.0188,0.0,0.0492,0.0065,0.0253,0.0087,0.0,0.0036,0.126,0.0007,0.0,0.265,0.0,1.4945,0.1209,0.5206,0.0007,0.3135,0.0043,1.7102,0.0152,0.0362,0.0036,0.0536,0.0014,0.0051,1.4764,0.3635,0.0565,0.0253,0.034,0.0282,0.0319,0.585,0.0022,1.1201,0.1173,0.0065,1.6914
2024-01-07,0.0,0.0,0.0017,0.0528,0.021,0.0008,0.0662,0.0017,0.0184,0.0025,0.0,0.0008,0.0671,0.0017,0.0,0.2482,0.0008,0.9282,0.1383,0.3698,0.0,0.3035,0.0008,0.8997,0.0746,0.0453,0.0025,0.0344,0.0034,0.0025,0.7035,0.3379,0.1023,0.0688,0.0461,0.0386,0.0428,0.4561,0.0008,0.5919,0.0671,0.0075,0.9382
2024-01-08,0.0,0.0,0.0055,0.0172,0.0137,0.0014,0.0769,0.0082,0.0213,0.0021,0.0,0.0007,0.0803,0.0021,0.0,0.2705,0.0048,1.0491,0.0632,0.6729,0.0027,0.2602,0.0343,0.9331,0.0996,0.0982,0.0048,0.0817,0.0062,0.0021,0.7388,0.3419,0.0872,0.1414,0.0611,0.1531,0.1023,0.517,0.0014,0.7923,0.0872,0.0062,1.2173
2024-01-09,0.0,0.0011,0.018,0.0248,0.0248,0.0006,0.0677,0.0017,0.0214,0.0006,0.0006,0.0006,0.084,0.0,0.0006,0.212,0.0051,1.2068,0.0333,0.5132,0.0011,0.176,0.0051,1.0788,0.0135,0.1286,0.0034,0.0902,0.0062,0.0,0.886,0.2188,0.062,0.0107,0.1269,0.0936,0.0711,0.428,0.0,0.7619,0.0626,0.0023,1.195
2024-01-10,0.0,0.0048,0.012,0.0403,0.0235,0.0012,0.0921,0.0036,0.0096,0.0006,0.0,0.0,0.0716,0.0006,0.0012,0.2148,0.0036,1.1476,0.1342,0.251,0.0018,0.121,0.0096,1.4491,0.0138,0.0746,0.0024,0.0849,0.0048,0.0024,1.1964,0.133,0.0433,0.0295,0.0614,0.0409,0.0933,0.5416,0.1637,0.7745,0.0421,0.0006,1.2156
2024-01-11,0.0,0.0031,0.0107,0.022,0.0338,0.0,0.1095,0.0015,0.0179,0.0005,0.0,0.0159,0.0798,0.0,0.0005,0.1575,0.0031,1.2931,0.1371,0.2205,0.0005,0.1207,0.0077,1.4619,0.0189,0.0491,0.0026,0.0609,0.0041,0.0031,1.288,0.1125,0.0384,0.0199,0.0517,0.0261,0.1442,0.6118,0.0297,0.8491,0.0767,0.0036,1.3079
2024-01-12,0.0,0.0064,0.0087,0.0255,0.0232,0.0,0.1351,0.0058,0.0157,0.0006,0.0,0.0006,0.04,0.0006,0.0012,0.1884,0.0041,0.9872,0.5988,0.2585,0.0017,0.1293,0.0087,0.9222,0.0394,0.0446,0.0023,0.0701,0.0046,0.0041,0.7391,0.1113,0.0539,0.0052,0.0493,0.0151,0.0696,0.5043,0.0041,0.9188,0.2266,0.0249,1.597
2024-01-13,0.0,0.002,0.0041,0.0598,0.0204,0.0,0.0469,0.0068,0.019,0.0007,0.0,0.0014,0.068,0.0007,0.0034,0.1992,0.0014,1.211,0.4739,0.1251,0.0014,0.1272,0.0007,1.2035,0.0136,0.0422,0.0075,0.049,0.0041,0.0014,1.0111,0.1421,0.0428,0.0068,0.0272,0.0272,0.0469,0.5419,0.0027,0.9111,0.1482,0.0068,1.5721
2024-01-14,0.0,0.0,0.0036,0.0358,0.0098,0.0027,0.0447,0.0027,0.0107,0.0009,0.0,0.0063,0.0617,0.0,0.0009,0.219,0.0018,1.2925,0.0947,0.0912,0.0,0.2163,0.0,1.2916,0.0813,0.0304,0.0036,0.0572,0.0036,0.0009,1.095,0.2369,0.0447,0.0045,0.0206,0.0134,0.0483,0.5685,0.0018,0.7526,0.1922,0.0259,1.3926
2024-01-15,0.0,0.0007,0.0022,0.0807,0.0065,0.0014,0.0418,0.0022,0.0108,0.0043,0.0,0.0014,0.0583,0.0,0.0,0.2413,0.0043,1.1595,0.2787,0.1109,0.005,0.17,0.0007,1.1199,0.0223,0.0266,0.0014,0.0439,0.0043,0.0022,0.9356,0.1693,0.0447,0.005,0.0367,0.0194,0.0562,0.543,0.0029,0.8074,0.1037,0.0101,1.2114
2024-01-16,0.0,0.0007,0.0086,0.0523,0.0158,0.0,0.0631,0.0244,0.0287,0.0007,0.0007,0.0559,0.0416,0.0014,0.01,0.3018,0.0022,1.3684,0.1914,0.1491,0.0516,0.0832,0.0072,1.8637,0.0136,0.0401,0.0036,0.0466,0.0007,0.0043,1.5849,0.1276,0.0409,0.0022,0.0495,0.028,0.109,0.6107,0.0237,0.7985,0.2631,0.0043,1.3505
2024-01-17,0.0,0.0011,0.0251,0.0325,0.0229,0.0139,0.0565,0.0501,0.0208,0.0021,0.0,0.0064,0.0304,0.0,0.0096,0.1717,0.0005,1.2986,0.2655,0.129,0.0048,0.1141,0.0069,1.4564,0.0117,0.0474,0.0027,0.0512,0.1247,0.0027,1.1952,0.1845,0.0469,0.0219,0.0501,0.0331,0.0752,0.6323,0.0544,0.9846,0.2068,0.0032,1.4895
2024-01-18,0.0,0.0,0.0073,0.0705,0.0194,0.0065,0.0413,0.0097,0.017,0.0032,0.0,0.0,0.0462,0.0016,0.0016,0.2114,0.0016,0.9429,0.2543,0.094,0.0065,0.0883,0.0049,0.968,0.0251,0.0599,0.0016,0.068,0.0308,0.0008,0.806,0.1175,0.0616,0.0194,0.0567,0.0405,0.1515,0.5954,0.0551,0.6602,0.2219,0.0073,1.1243
2024-01-19,0.0,0.0,0.0046,0.0643,0.0147,0.0,0.0767,0.0015,0.0232,0.0062,0.0,0.0008,0.0372,0.0,0.0,0.237,0.0015,1.0471,0.1642,0.1766,0.0015,0.096,0.0039,0.9774,0.0248,0.0743,0.0015,0.0891,0.0085,0.0054,0.8054,0.103,0.0612,0.0093,0.031,0.086,0.0596,0.5785,0.0225,0.934,0.0937,0.0046,1.3328
2024-01-20,0.0,0.0,0.0017,0.0477,0.0204,0.0,0.0417,0.0017,0.0273,0.0009,0.0,0.0,0.0273,0.0,0.0017,0.1891,0.0077,1.0358,0.1261,0.0392,0.0068,0.2198,0.0094,1.1755,0.0077,0.0528,0.0043,0.0588,0.006,0.0026,1.0162,0.2615,0.1005,0.0102,0.0443,0.0417,0.0273,0.437,0.0324,0.7079,0.2215,0.0077,1.1014
2024-01-21,0.0,0.0023,0.0023,0.076,0.0526,0.0047,0.0374,0.0023,0.0374,0.0012,0.0012,0.0,0.007,0.0012,0.0012,0.208,0.0,1.0038,0.0666,0.0421,0.0187,0.2851,0.0164,1.2971,0.0035,0.0421,0.0023,0.0269,0.0058,0.0012,1.1463,0.2945,0.0269,0.007,0.0316,0.0187,0.0339,0.4055,0.0164,0.7222,0.2571,0.0082,1.144
2024-01-22,0.0,0.0407,0.0115,0.1366,0.0645,0.0038,0.0414,0.0038,0.0238,0.0023,0.0,0.0015,0.0361,0.0,0.0,0.3906,0.0031,1.2978,0.1312,0.1527,0.0023,0.099,0.0031,1.4758,0.0054,0.0553,0.0038,0.1228,0.0138,0.0054,1.3009,0.1397,0.0522,0.0084,0.0637,0.0376,0.0867,0.6424,0.0115,0.8534,0.1213,0.0077,1.4037
2024-01-23,0.0,0.0067,0.015,0.1052,0.0259,0.0084,0.0326,0.0033,0.0251,0.005,0.0,0.0,0.0251,0.0,0.0008,0.2898,0.0033,1.2351,0.1796,0.1395,0.0008,0.0852,0.0042,1.3253,0.0084,0.0384,0.0,0.1737,0.0033,0.0033,1.1399,0.1186,0.0576,0.0468,0.0752,0.0276,0.0894,0.6714,0.0167,0.8852,0.1361,0.005,1.4264
2024-01-24,0.0,0.0023,0.0075,0.0985,0.0188,0.0023,0.0579,0.0226,0.0323,0.0015,0.0233,0.0008,0.0601,0.0,0.0023,0.324,0.0008,1.7382,0.1195,0.1955,0.0053,0.0827,0.0045,1.3585,0.0113,0.0496,0.0038,0.0654,0.0301,0.0053,1.145,0.0669,0.0564,0.0165,0.0647,0.018,0.0481,0.7105,0.0083,0.9804,0.1428,0.003,1.4179
2024-01-25,0.0,0.0027,0.0265,0.061,0.035,0.0032,0.06,0.0042,0.0212,0.0032,0.0377,0.0,0.035,0.0005,0.0032,0.2818,0.0032,1.4392,0.0647,0.3354,0.0011,0.0249,0.0027,1.4355,0.0106,0.0594,0.0021,0.0727,0.0589,0.0021,1.1717,0.0515,0.0547,0.0196,0.0785,0.0138,0.0472,0.7758,0.0,0.865,0.0626,0.0048,1.3919
2024-01-26,0.0,0.0015,0.0173,0.0518,0.0325,0.0,0.0695,0.0081,0.0198,0.003,0.0,0.0005,0.0416,0.0005,0.0005,0.2213,0.0015,1.1878,0.0797,0.1467,0.001,0.0345,0.0071,1.2107,0.0056,0.0569,0.0036,0.0533,0.0619,0.0036,0.9832,0.0685,0.0629,0.0335,0.0939,0.0152,0.0959,0.5086,0.0102,0.7249,0.0736,0.0046,1.2533
2024-01-27,0.0,0.0006,0.0043,0.0345,0.024,0.0006,0.061,0.0092,0.0216,0.0012,0.0,0.0,0.0363,0.0006,0.0,0.1934,0.0462,1.027,0.1577,0.1799,0.0012,0.0166,0.0025,1.1311,0.0092,0.0363,0.0018,0.0511,0.0092,0.0018,0.8804,0.0986,0.0918,0.0074,0.053,0.0111,0.061,0.4245,0.0166,0.8637,0.0672,0.0111,1.3732
2024-01-28,0.0,0.0028,0.0056,0.0652,0.0261,0.0009,0.0494,0.0009,0.0158,0.0,0.0,0.0,0.0177,0.0,0.0,0.232,0.0121,0.7455,0.0578,0.0466,0.0009,0.0876,0.0,0.8461,0.0028,0.0457,0.0047,0.0419,0.0019,0.0075,0.7175,0.0783,0.0811,0.0,0.0475,0.0158,0.0401,0.5274,0.0019,0.6933,0.3001,0.0019,1.0781
2024-01-29,0.0,0.0014,0.0007,0.0969,0.0152,0.0,0.0865,0.0014,0.0132,0.0021,0.0,0.0,0.0291,0.0,0.0,0.288,0.0062,0.8287,0.1142,0.0672,0.0042,0.1911,0.0062,0.9063,0.0464,0.0658,0.0042,0.0471,0.1219,0.0021,0.7463,0.1025,0.0609,0.0111,0.0713,0.0194,0.0457,0.4826,0.0014,0.8405,0.4043,0.0464,1.2781
2024-01-30,0.0,0.0015,0.0103,0.0557,0.0145,0.0,0.175,0.0015,0.0186,0.0021,0.0,0.0005,0.0201,0.0,0.001,0.2642,0.0026,1.0235,0.0784,0.1404,0.001,0.1156,0.0057,1.0235,0.0232,0.0573,0.0026,0.0965,0.0088,0.0046,0.8449,0.1079,0.112,0.0067,0.0459,0.032,0.0965,0.5435,0.0005,0.8253,0.2983,0.0351,1.3166
2024-01-31,0.0,0.0027,0.0064,0.0235,0.0171,0.0005,0.0882,0.0016,0.0256,0.0016,0.0,0.0005,0.0187,0.0,0.0005,0.1838,0.0037,1.1284,0.1053,0.1047,0.0021,0.0967,0.023,1.036,0.0091,0.063,0.0027,0.0604,0.0048,0.0037,0.8222,0.0743,0.093,0.0112,0.0513,0.0449,0.141,0.6182,0.0043,0.9344,0.1742,0.0604,1.357
2024-02-01,0.0,0.0006,0.0064,0.0791,0.0234,0.0035,0.0644,0.0059,0.0275,0.0035,0.0023,0.0006,0.0141,0.0006,0.0,0.2196,0.0012,1.029,0.0955,0.0779,0.0018,0.092,0.0041,0.9096,0.0135,0.0457,0.0,0.0662,0.0029,0.0035,0.7192,0.075,0.0802,0.0105,0.0392,0.0328,0.1125,0.7754,0.0094,0.9061,0.1657,0.0346,1.3166
2024-02-02,0.0,0.0012,0.0071,0.0506,0.0247,0.0024,0.0547,0.01,0.0218,0.0041,0.0,0.0006,0.0718,0.0018,0.0006,0.1877,0.0035,1.2632,0.0735,0.0377,0.0006,0.1465,0.0029,1.2114,0.0494,0.0647,0.0018,0.0647,0.0059,0.0035,0.9743,0.11,0.083,0.0088,0.0588,0.0188,0.1183,0.6601,0.0018,0.9137,0.3112,0.0141,1.4662
2024-02-03,0.0,0.0023,0.0045,0.088,0.0331,0.0,0.1075,0.0045,0.0233,0.0023,0.0045,0.0,0.0564,0.0008,0.0008,0.2647,0.0008,1.1738,0.1203,0.0684,0.0,0.3361,0.0023,1.0302,0.0165,0.0346,0.003,0.0639,0.0008,0.0045,0.8527,0.1391,0.0496,0.0196,0.0263,0.0196,0.0654,0.5324,0.0045,0.9264,0.7038,0.0203,1.4528
2024-02-04,0.0,0.0043,0.0101,0.1232,0.0173,0.0086,0.0893,0.0029,0.0173,0.0029,0.0007,0.0,0.0194,0.0,0.0007,0.2557,0.0014,0.9226,0.2874,0.031,0.0014,0.1865,0.018,1.0788,0.0324,0.0324,0.0036,0.1253,0.0072,0.0014,0.9074,0.2009,0.0367,0.0079,0.0288,0.013,0.0843,0.5567,0.0,0.9449,0.4768,0.013,1.3287
2024-02-05,0.0,0.0174,0.0125,0.0752,0.0445,0.0,0.0717,0.0132,0.0216,0.0014,0.0014,0.0021,0.0452,0.0,0.0,0.2081,0.0,1.1026,0.1058,0.1309,0.0021,0.0578,0.0084,1.0441,0.3842,0.0348,0.0028,0.2596,0.0397,0.0042,0.7928,0.0696,0.1051,0.0132,0.0404,0.023,0.2791,0.5903,0.0007,0.8506,0.2186,0.0111,1.3358
2024-02-06,0.0,0.0021,0.0041,0.0473,0.0679,0.0,0.0586,0.0072,0.0175,0.0,0.0,0.0,0.106,0.0,0.0005,0.2089,0.0057,1.3035,0.0725,0.1085,0.0026,0.0288,0.0015,1.4229,0.0869,0.0489,0.0051,0.142,0.0139,0.0021,1.1688,0.0664,0.0674,0.017,0.0499,0.0144,0.1394,0.6379,0.001,0.8555,0.1939,0.0113,1.3457
2024-02-07,0.0,0.01,0.0144,0.074,0.0389,0.0,0.0777,0.0069,0.0301,0.005,0.0,0.0025,0.0896,0.0013,0.0031,0.2551,0.0013,1.5914,0.0809,0.168,0.0,0.1529,0.0019,1.3745,0.0708,0.0426,0.0038,0.1116,0.0226,0.0019,1.1332,0.1141,0.0715,0.0201,0.0313,0.0301,0.0627,0.9145,0.0019,1.1232,0.1667,0.0175,1.6221
2024-02-08,0.0,0.0044,0.0098,0.0468,0.0261,0.0,0.1142,0.0076,0.0239,0.0049,0.0,0.0005,0.1496,0.0011,0.0044,0.2686,0.0044,1.7277,0.0375,0.056,0.0022,0.1501,0.0,1.5776,0.0604,0.0435,0.0027,0.1865,0.0544,0.0011,1.3046,0.0756,0.0598,0.0615,0.0544,0.0598,0.0598,0.8092,0.0054,1.2388,0.1207,0.0114,1.7381
2024-02-09,0.0,0.0,0.005,0.0803,0.0213,0.0,0.1522,0.0074,0.0258,0.001,0.0,0.0005,0.11,0.002,0.002,0.2513,0.0015,1.5385,0.0515,0.0853,0.0045,0.0788,0.003,1.541,0.0382,0.0882,0.0025,0.1001,0.0069,0.0079,1.3194,0.0768,0.0709,0.0377,0.0367,0.056,0.0466,0.7088,0.0005,1.2153,0.0907,0.0273,1.7695
2024-02-10,0.0,0.0009,0.0017,0.1498,0.0196,0.0,0.0834,0.0119,0.0306,0.0017,0.0,0.0,0.1209,0.0017,0.0,0.3515,0.0017,1.3141,0.08,0.0391,0.0264,0.1328,0.0009,1.2119,0.023,0.0604,0.0026,0.0749,0.0119,0.0119,0.9549,0.1072,0.1728,0.0434,0.0391,0.0383,0.0579,0.7472,0.0043,0.9719,0.126,0.023,1.4324
