datetime,charlie kirk_intensity,charlie kirk shot_intensity,charlie kirk shooter_intensity,la fires_intensity,tariffs_intensity,gene hackman_intensity,tariff_intensity,trump tariffs_intensity,trump approval rating_intensity,pope leo xiv_intensity,shedeur sanders_intensity,government shutdown_intensity,trump epstein_intensity,federal employees_intensity,shutdown_intensity,kash patel_intensity,xrp price_intensity,measles_intensity,f1 movie_intensity,switch 2_intensity,ai news_intensity,trump health_intensity,medicaid_intensity,greenland_intensity,nintendo switch 2_intensity,department of education_intensity,pete hegseth_intensity,powerball_intensity,pope francis_intensity,zelensky_intensity,xrp news_intensity,hulk hogan_intensity,stock market today_intensity,politico_intensity,bitcoin price_intensity,blake lively_intensity,chatgpt_intensity,harvard_intensity,justin baldoni_intensity,stock market_intensity,tesla stock_intensity,immigration_intensity,us news_intensity,aaron rodgers_intensity,pakistan_intensity
2025-01-01,0.0145,0.0,0.0,0.0,0.1122,0.0027,0.0669,0.0308,0.0,0.0,0.0054,0.028,0.0,0.009,0.1203,0.0217,0.0,0.0045,0.0,0.0045,0.0036,0.0009,0.0525,0.0299,0.0018,0.0326,0.0199,0.0036,0.0425,0.0163,0.0,0.0045,0.0045,0.0199,0.0054,0.1728,0.0317,0.0606,0.1683,0.104,0.0063,0.3365,0.047,0.0172,0.0543
2025-01-02,0.0012,0.0,0.0,0.0,0.1778,0.0006,0.0529,0.0144,0.0,0.0,0.006,0.0156,0.0,0.0078,0.0553,0.0204,0.0,0.0102,0.0,0.006,0.003,0.0048,0.0811,0.0162,0.0048,0.0637,0.0108,0.009,0.0535,0.0132,0.0,0.003,0.0078,0.0258,0.0204,0.0859,0.039,0.0517,0.0871,0.0961,0.0318,0.2625,0.0114,0.0138,0.0595
2025-01-03,0.0046,0.0,0.0,0.0,0.2784,0.0017,0.0382,0.0179,0.0,0.0,0.0145,0.0562,0.0,0.0081,0.0868,0.022,0.0017,0.0075,0.0,0.0041,0.0,0.0006,0.0735,0.0139,0.0023,0.0382,0.0394,0.0104,0.0174,0.0289,0.0,0.0029,0.0197,0.0318,0.0093,0.0411,0.0232,0.0521,0.0417,0.1129,0.0133,0.2501,0.0214,0.0255,0.0365
2025-01-04,0.0029,0.0,0.0,0.0,0.1206,0.001,0.0274,0.0118,0.0,0.0,0.0098,0.0176,0.0,0.0118,0.0559,0.05,0.002,0.0039,0.0,0.0029,0.0029,0.001,0.0657,0.0245,0.002,0.0373,0.0549,0.0127,0.0127,0.0137,0.0,0.0098,0.0029,0.0274,0.0078,0.0569,0.0304,0.0539,0.0314,0.051,0.0069,0.2608,0.0255,0.0118,0.0412
2025-01-05,0.0099,0.0,0.0,0.0,0.0868,0.0011,0.0352,0.0066,0.0,0.0,0.0132,0.0066,0.0,0.0198,0.0835,0.0176,0.0011,0.0055,0.0,0.0066,0.0,0.0,0.0385,0.0176,0.0044,0.0231,0.0187,0.0088,0.0692,0.0286,0.0,0.0033,0.0022,0.0187,0.0066,0.0769,0.0077,0.0989,0.078,0.0648,0.0044,0.2715,0.0253,0.0242,0.0901
2025-01-06,0.0013,0.0,0.0,0.0,0.4163,0.0,0.2679,0.0419,0.0,0.0,0.0225,0.0125,0.0,0.0645,0.087,0.0144,0.0019,0.0119,0.0,0.0013,0.0019,0.0,0.0739,0.0357,0.0006,0.0394,0.0138,0.0031,0.1027,0.0432,0.0006,0.0131,0.0056,0.0244,0.0088,0.0156,0.0394,0.1421,0.0144,0.097,0.0025,0.3875,0.0106,0.0833,0.0469
2025-01-07,0.0179,0.0,0.0,0.0,0.396,0.0007,0.1499,0.0398,0.0007,0.0,0.0146,0.0146,0.0,0.0133,0.0829,0.0292,0.002,0.0046,0.0,0.0033,0.0013,0.0,0.1061,0.4052,0.002,0.0716,0.0226,0.0066,0.0279,0.0212,0.0,0.0252,0.0146,0.0332,0.006,0.0119,0.1346,0.1486,0.0113,0.1074,0.0073,0.711,0.0186,0.0252,0.0338
2025-01-08,0.0118,0.0,0.0,0.0051,0.3121,0.0017,0.1003,0.0434,0.0,0.0,0.0107,0.0096,0.0,0.027,0.0642,0.0096,0.0051,0.0056,0.0011,0.0085,0.0068,0.0006,0.1341,0.3353,0.0062,0.0597,0.0389,0.0146,0.0231,0.0135,0.0,0.0141,0.0011,0.0507,0.0101,0.053,0.1752,0.0907,0.0501,0.129,0.0045,0.4958,0.018,0.0158,0.0428
2025-01-09,0.0276,0.0,0.0,0.0441,0.2348,0.0006,0.0744,0.0298,0.0,0.0,0.0077,0.0061,0.0,0.0072,0.0899,0.0077,0.0017,0.0088,0.0,0.011,0.0028,0.0017,0.0788,0.2271,0.0088,0.1108,0.0254,0.0165,0.0882,0.0265,0.0,0.0066,0.0039,0.0761,0.0061,0.0254,0.043,0.0584,0.0237,0.0799,0.0022,0.3622,0.027,0.0375,0.0353
2025-01-10,0.0032,0.0,0.0,0.0817,0.2259,0.0013,0.0785,0.0174,0.0,0.0,0.0476,0.0039,0.0,0.0122,0.0933,0.0167,0.0006,0.0071,0.0,0.009,0.0058,0.0013,0.0702,0.1184,0.0058,0.0605,0.0264,0.0927,0.0451,0.02,0.0,0.0039,0.0039,0.0386,0.0097,0.0077,0.0302,0.056,0.0058,0.0869,0.0026,0.3443,0.0187,0.0154,0.0483
