"query","search interest","increase percent"
"zika virus",3,"Breakout"
"brexit",2,"Breakout"
"rodrigo duterte",1,"3,950%"
"egyptair",1,"3,000%"
"ryan lochte",1,"2,450%"
"pokemon go",3,"2,100%"
"aleppo",2,"1,000%"
"mike pence",1,"950%"
"overwatch",1,"900%"
"mosul",2,"800%"
"david bowie",1,"800%"
"wikileaks",2,"700%"
"michael phelps",1,"550%"
"flint",2,"500%"
"colin kaepernick",2,"500%"
"brad pitt",2,"450%"
"ahok",1,"350%"
"trump news",2,"350%"
"dilma rousseff",1,"350%"
"iphone 7",2,"350%"
"doctor strange",1,"300%"
"macbook pro",2,"300%"
"john kasich",1,"300%"
"conor mcgregor",2,"250%"
"trump",100,"250%"
"ghostbusters",1,"250%"
"donald trump",72,"250%"
"brussels",1,"200%"
"kevin durant",1,"200%"
"suicide squad",2,"200%"
"horse racing",0,"190%"
"social media",2,"180%"
"michelle obama",1,"170%"
"clinton email",2,"160%"
"clinton",32,"160%"
"prince",5,"160%"
"sanders",16,"160%"
"persib",3,"160%"
"bernie sanders",14,"160%"
"tesla motors",3,"150%"
"hillary clinton",25,"140%"
"pokemon",5,"140%"
"israel news",1,"130%"
"maria sharapova",1,"110%"
"black lives matter",1,"100%"
"ibm",3,"90%"
"stephen curry",1,"90%"
"ted cruz",4,"90%"
"south china sea",1,"70%"
"marco rubio",1,"70%"
