date,donald trump,trump,bernie sanders,ashley madison,bobbi kristina,isPartial,alexis tsipras,"floyd mayweather, jr.",jordan spieth,volkswagen passenger cars,planned parenthood,isPartial,windows 10,ben carson,brian williams,lamar odom,ronda rousey,isPartial,new horizons,jeb bush,san bernardino,tom brady,bruce jenner,isPartial,yemen,fallout 4,greece,ted cruz,nepal,isPartial,paris,duggar,jon stewart,golden state warriors,hillary clinton,isPartial,hillary rodham clinton,kylie jenner,david cameron,airasia,blake shelton,isPartial,charlie sheen,new york mets,chicago cubs,james bond,persib,isPartial,stock stock,scott walker,saudi arabia,boston marathon bombings,apple inc.,isPartial,manny pacquiao,serena williams,rand paul,baltimore,aaron hernandez,isPartial
2014-12-28,1,4,0,2,0,False,1,0,0,0,13,False,3,0,0,0,1,False,0,1,2,2,2,False,1,0,5,0,4,False,19,0,0,0,0,False,0,10,1,100,2,False,2,0,1,13,6,False,48,0,6,0,0,False,1,1,0,12,0,False
2015-01-04,2,6,0,2,0,False,1,0,0,0,14,False,3,0,0,0,0,False,0,1,2,3,2,False,1,0,6,0,4,False,35,0,0,0,0,False,0,13,1,29,1,False,2,0,1,11,8,False,57,0,7,0,0,False,1,1,0,14,1,False
2015-01-11,1,5,0,2,0,False,1,0,0,0,14,False,3,0,0,0,0,False,0,0,2,5,5,False,1,0,6,0,4,False,24,0,0,0,0,False,0,13,1,22,1,False,2,0,1,8,7,False,57,0,8,0,0,False,2,1,0,12,0,False
2015-01-18,2,5,0,2,1,False,1,0,0,0,14,False,13,0,0,0,0,False,0,0,2,14,5,False,2,0,6,0,5,False,19,0,0,0,0,False,0,12,1,18,2,False,2,0,1,7,6,False,56,0,12,0,0,False,2,2,0,10,1,False
2015-01-25,3,6,0,2,6,False,13,0,1,0,13,False,9,0,0,0,0,False,1,1,2,7,13,False,1,0,8,0,4,False,19,0,0,0,0,False,0,9,1,19,4,False,2,0,1,6,7,False,59,1,10,0,0,False,2,7,0,11,2,False
2015-02-01,1,5,0,2,100,False,3,0,1,0,13,False,7,0,5,0,1,False,1,1,2,30,34,False,1,0,7,0,4,False,19,0,0,0,0,False,0,10,1,13,2,False,2,0,1,6,10,False,60,1,7,0,0,False,1,3,1,10,2,False
2015-02-08,1,5,0,2,75,False,3,0,0,0,12,False,6,0,10,0,2,False,0,1,2,2,27,False,1,0,7,0,4,False,19,0,2,0,0,False,0,11,1,11,2,False,2,0,1,7,10,False,58,1,7,0,0,False,1,1,0,10,1,False
2015-02-15,2,5,0,2,36,False,2,0,1,0,13,False,6,0,2,0,1,False,0,1,2,2,8,False,1,1,7,0,4,False,19,1,0,0,0,False,0,18,1,9,1,False,4,0,1,7,7,False,56,1,7,0,0,False,3,1,0,12,1,False
2015-02-22,3,6,0,2,20,False,1,0,0,0,13,False,5,0,1,0,2,False,0,1,2,1,5,False,1,0,6,0,4,False,18,1,0,0,0,False,0,16,1,11,2,False,2,0,1,6,8,False,59,1,6,0,0,False,3,1,0,10,1,False
2015-03-01,1,4,0,2,16,False,1,0,0,0,13,False,5,1,0,0,10,False,0,1,2,1,4,False,1,0,6,0,4,False,19,1,0,0,0,False,0,11,1,11,3,False,2,0,2,6,7,False,61,1,6,0,0,False,2,1,1,12,1,False
2015-03-08,1,4,0,2,14,False,1,0,1,0,13,False,5,0,0,0,1,False,0,0,2,1,4,False,1,0,6,0,4,False,21,1,0,0,1,False,0,10,1,11,3,False,2,0,1,7,8,False,57,1,7,0,0,False,3,1,0,10,1,False
2015-03-15,1,4,0,2,10,False,1,0,4,0,13,False,8,0,0,0,1,False,0,0,2,1,7,False,2,0,6,0,4,False,20,1,0,0,0,False,0,14,1,11,2,False,2,0,1,8,7,False,58,1,7,0,0,False,2,2,0,10,1,False
2015-03-22,1,4,0,1,9,False,1,0,1,0,13,False,7,0,0,0,2,False,0,1,2,1,5,False,6,0,6,8,4,False,19,1,0,0,0,False,0,12,2,19,2,False,2,0,1,9,7,False,56,1,8,0,0,False,2,1,0,10,2,False
2015-03-29,1,4,0,1,8,False,1,0,2,0,14,False,6,0,0,0,4,False,0,0,2,2,5,False,5,0,6,1,4,False,21,1,0,0,0,False,0,18,3,11,2,False,2,0,2,10,7,False,53,1,8,0,0,False,3,3,0,11,2,False
2015-04-05,1,4,0,2,8,False,1,0,44,0,14,False,6,0,0,0,2,False,0,1,2,1,7,False,4,0,6,1,4,False,20,2,0,0,1,False,0,20,2,10,2,False,2,1,4,8,8,False,55,1,7,0,0,False,3,1,5,12,4,False
2015-04-12,1,4,0,2,7,False,1,0,100,0,13,False,6,0,0,0,1,False,1,1,2,2,6,False,3,0,6,1,4,False,21,1,0,0,4,False,0,19,1,10,2,False,1,1,4,6,8,False,58,1,7,0,0,False,4,1,2,11,17,False
2015-04-19,1,4,0,2,12,False,0,0,7,0,13,False,6,0,0,0,1,False,1,1,2,1,59,False,3,0,7,0,21,False,20,1,0,1,1,False,0,73,2,11,3,False,1,1,4,6,4,False,60,1,7,0,0,False,6,1,1,13,2,False
