date,kavanaugh,hurricane florence,fortnite,mollie tibbetts,michael cohen,isPartial,avengers 4,anthony bourdain,dez bryant,black panther,kate spade,isPartial,world cup 2018,cohen,xxxtentacion,le'veon bell,government shutdown,isPartial,mega millions,red dead redemption 2,meghan markle,kawhi leonard,cryptocurrency,isPartial,manafort,avengers infinity war,mueller,demi lovato,dow jones,isPartial,mueller investigation,ripple,tsunami,hawaii,kanye west,isPartial,robert mueller,weather radar,khloe kardashian,kingdom hearts 3,lebron james,isPartial,local news,shooting,lakers,stock market,markelle fultz,isPartial,cleveland browns,ford,nafta,eagles,nicki minaj,isPartial,red sox,kate middleton,netflix,instagram,news today,isPartial
2017-12-31,0,0,10,0,0,False,0,0,0,3,3,False,1,1,1,0,0,False,18,1,5,0,12,False,0,1,2,5,4,False,0,66,5,30,4,False,1,18,11,1,11,False,2,15,7,5,0,False,3,72,1,10,5,False,0,1,44,90,5,False
2018-01-07,0,0,11,0,0,False,0,0,0,6,2,False,1,1,1,0,0,False,4,1,5,0,12,False,0,1,2,4,5,False,0,50,11,42,4,False,1,23,8,1,11,False,2,13,7,5,0,False,1,76,1,14,4,False,0,1,42,68,5,False
2018-01-14,0,0,19,0,0,False,0,0,0,5,2,False,1,1,1,0,7,False,2,1,4,0,12,False,0,1,2,4,5,False,0,30,6,48,6,False,1,20,9,1,10,False,2,13,6,6,1,False,1,80,1,22,4,False,0,1,40,77,5,False
2018-01-21,0,0,22,0,0,False,0,0,0,5,2,False,1,1,1,0,7,False,2,1,3,1,7,False,0,1,4,4,5,False,1,16,21,30,5,False,3,13,7,1,13,False,2,23,6,6,0,False,1,76,1,48,4,False,0,1,42,75,5,False
2018-01-28,0,0,21,0,0,False,0,0,0,14,2,False,2,1,1,0,0,False,2,1,3,0,7,False,0,1,3,4,8,False,1,15,5,31,5,False,1,11,7,1,14,False,2,17,6,8,0,False,1,74,1,18,4,False,0,1,40,72,5,False
2018-02-04,0,0,19,0,0,False,0,0,0,21,2,False,1,1,1,0,2,False,2,1,3,0,7,False,0,3,2,3,31,False,0,14,6,28,5,False,1,22,10,1,16,False,2,13,10,22,0,False,1,73,1,69,3,False,0,1,39,76,5,False
2018-02-11,0,0,23,0,0,False,0,0,0,64,2,False,1,1,0,0,0,False,2,0,3,0,4,False,0,2,3,4,14,False,0,11,5,26,5,False,1,14,7,2,13,False,2,100,8,8,0,False,1,74,1,9,3,False,1,1,38,80,5,False
2018-02-18,0,0,28,0,0,False,0,0,0,91,2,False,1,1,0,0,0,False,2,0,3,1,4,False,1,2,3,4,9,False,0,9,5,28,4,False,1,23,6,1,15,False,2,43,5,6,0,False,1,78,1,6,3,False,1,1,36,77,4,False
2018-02-25,0,0,33,0,0,False,0,0,0,46,2,False,1,1,1,0,0,False,3,0,3,1,3,False,0,3,2,4,11,False,0,7,5,27,4,False,1,21,8,1,12,False,2,29,7,6,0,False,1,76,1,6,3,False,1,1,37,78,5,False
2018-03-04,0,0,34,0,0,False,0,0,0,32,2,False,1,1,1,0,0,False,3,0,3,1,3,False,0,4,3,4,12,False,0,8,6,27,4,False,1,15,10,1,12,False,2,19,8,6,0,False,2,75,1,7,3,False,1,1,37,75,5,False
2018-03-11,0,0,56,0,0,False,0,0,0,24,2,False,1,1,1,0,0,False,5,0,4,1,3,False,0,8,3,4,9,False,1,6,6,27,4,False,1,14,9,1,12,False,2,19,9,5,0,False,2,81,1,8,3,False,1,1,38,80,5,False
2018-03-18,0,0,52,0,0,False,0,0,0,21,2,False,2,1,1,0,0,False,6,0,4,1,3,False,0,7,4,4,12,False,1,6,5,27,4,False,2,24,7,1,12,False,2,31,5,7,0,False,1,80,1,7,3,False,1,1,38,79,5,False
2018-03-25,0,0,55,0,0,False,0,0,0,18,2,False,2,1,1,0,0,False,16,0,3,1,3,False,0,6,2,3,11,False,1,6,5,28,4,False,1,17,6,1,13,False,2,20,5,7,2,False,1,78,1,6,3,False,2,1,41,80,5,False
2018-04-01,0,0,54,0,0,False,0,0,0,14,2,False,1,1,1,0,0,False,5,0,4,1,2,False,0,6,3,4,15,False,1,5,6,29,4,False,1,23,7,1,13,False,2,32,5,7,0,False,1,78,1,6,3,False,2,1,39,78,5,False
2018-04-08,0,0,63,0,2,False,0,0,4,13,2,False,1,2,1,0,0,False,2,0,4,2,2,False,0,7,4,3,12,False,1,5,5,28,4,False,2,20,95,1,11,False,2,15,5,6,1,False,1,77,1,6,8,False,4,1,36,79,5,False
2018-04-15,0,0,52,0,2,False,0,0,3,11,2,False,1,2,1,0,0,False,2,0,5,2,2,False,0,10,3,2,9,False,1,7,5,29,6,False,2,18,42,1,15,False,2,17,3,5,0,False,1,77,1,7,6,False,3,2,38,79,5,False
2018-04-22,0,0,49,0,1,False,3,0,2,16,2,False,1,1,1,0,0,False,2,0,7,1,2,False,0,63,2,2,9,False,0,6,4,27,29,False,1,14,19,1,17,False,2,23,3,5,0,False,3,79,1,8,5,False,2,9,37,79,5,False
2018-04-29,0,0,67,0,1,False,5,0,1,23,2,False,1,1,1,0,0,False,2,2,7,1,2,False,0,68,3,2,8,False,1,5,5,48,39,False,1,22,17,1,21,False,2,15,3,5,0,False,1,77,1,7,5,False,2,2,39,78,4,False
2018-05-06,0,0,57,0,1,False,2,0,1,19,2,False,2,1,1,0,0,False,2,1,9,1,2,False,0,31,3,2,8,False,1,5,5,67,13,False,1,16,16,1,23,False,2,16,3,4,0,False,1,78,1,6,5,False,3,1,36,81,5,False
2018-05-13,0,0,60,0,0,False,2,0,1,16,3,False,3,1,1,0,0,False,2,1,100,1,2,False,0,20,3,2,7,False,1,4,5,56,6,False,1,32,10,2,19,False,2,44,3,4,0,False,1,74,1,6,4,False,2,6,38,80,6,False
2018-05-20,0,0,48,0,0,False,1,0,1,12,2,False,4,1,1,0,0,False,2,0,76,0,2,False,0,14,2,3,7,False,1,4,5,51,6,False,1,31,8,2,24,False,2,29,3,4,0,False,1,78,1,6,8,False,2,6,40,82,5,False
2018-05-27,0,0,51,0,0,False,1,0,1,9,2,False,6,1,1,0,0,False,2,0,12,0,2,False,0,11,2,3,7,False,0,4,5,40,19,False,1,39,8,1,51,False,2,17,3,4,0,False,1,76,1,6,7,False,2,1,41,84,5,False
2018-06-03,0,0,46,0,0,False,2,89,0,7,100,False,9,1,1,0,0,False,2,1,7,0,2,False,1,9,2,3,7,False,1,4,5,41,15,False,1,25,7,1,55,False,2,15,4,4,0,False,1,75,1,8,5,False,2,1,36,84,5,False
2018-06-10,0,0,60,0,1,False,2,26,0,6,10,False,46,1,1,0,0,False,2,1,9,3,2,False,2,8,2,3,7,False,1,4,5,32,9,False,1,31,6,8,39,False,2,14,6,4,0,False,1,74,1,6,6,False,2,1,38,85,5,False
2018-06-17,0,0,45,0,1,False,1,6,0,5,5,False,86,1,51,0,0,False,3,1,7,3,2,False,1,7,2,5,9,False,1,3,4,30,6,False,1,38,6,2,25,False,2,16,8,4,0,False,1,72,1,5,5,False,2,1,36,84,5,False
2018-06-24,0,0,56,0,0,False,1,3,0,5,3,False,100,1,7,0,0,False,3,0,6,3,2,False,0,6,2,5,9,False,1,3,4,29,5,False,1,33,7,1,41,False,2,21,10,5,0,False,1,73,1,5,6,False,2,1,35,85,5,False
2018-07-01,0,0,49,0,1,False,1,2,0,4,3,False,90,1,4,0,0,False,4,0,6,7,1,False,0,6,2,3,7,False,0,3,4,28,4,False,1,37,6,1,100,False,2,15,41,4,0,False,1,72,1,4,5,False,2,1,37,82,6,False
2018-07-08,7,0,68,0,0,False,1,2,0,4,2,False,46,1,3,0,0,False,6,1,7,3,1,False,1,7,3,3,8,False,1,3,4,28,4,False,1,23,6,1,20,False,2,13,14,4,0,False,1,78,1,5,5,False,3,2,38,90,6,False
2018-07-15,0,0,56,0,1,False,1,1,0,4,2,False,16,2,2,0,0,False,10,1,7,7,2,False,0,6,3,4,7,False,1,3,9,30,4,False,1,34,6,1,15,False,2,15,11,4,0,False,1,80,1,5,4,False,2,1,38,84,6,False
2018-07-22,0,0,67,2,1,False,1,1,1,4,2,False,2,3,2,0,0,False,17,1,5,1,1,False,1,6,2,100,7,False,0,3,5,27,4,False,1,31,5,1,13,False,2,23,8,5,0,False,1,78,1,6,7,False,3,1,38,77,6,False
2018-07-29,0,0,54,3,0,False,2,1,1,3,2,False,1,2,2,0,0,False,3,1,6,0,1,False,3,12,3,26,7,False,1,3,5,27,5,False,1,34,7,1,23,False,2,16,7,5,0,False,1,83,1,6,5,False,4,1,38,87,6,False
2018-08-05,0,0,62,4,0,False,2,1,1,4,2,False,1,1,2,0,0,False,2,3,5,0,1,False,3,9,3,11,6,False,0,3,9,30,6,False,1,34,7,1,18,False,2,17,6,4,0,False,3,79,1,9,9,False,4,1,37,87,6,False
2018-08-12,0,0,53,4,0,False,2,1,2,3,3,False,1,1,2,0,0,False,2,2,5,0,2,False,5,8,2,6,7,False,0,3,5,27,6,False,1,31,7,1,10,False,2,16,5,4,0,False,3,77,1,8,14,False,3,1,38,83,6,False
2018-08-19,0,0,59,13,3,False,2,2,3,3,2,False,1,3,2,0,0,False,3,2,5,0,1,False,9,7,3,5,7,False,1,4,7,65,5,False,2,27,6,1,9,False,2,15,5,4,0,False,3,78,1,9,15,False,3,1,38,82,6,False
2018-08-26,0,0,51,2,0,False,2,1,2,3,2,False,1,1,2,0,0,False,2,2,4,0,1,False,1,5,3,4,7,False,1,3,5,29,5,False,1,30,5,1,9,False,2,35,4,5,0,False,2,76,4,8,7,False,3,1,40,87,5,False
2018-09-02,7,5,49,1,0,False,2,1,2,4,2,False,1,1,2,2,0,False,3,2,4,0,1,False,0,5,2,4,6,False,0,3,5,25,7,False,1,41,4,1,10,False,2,18,5,5,0,False,2,74,2,22,16,False,3,1,38,83,6,False
2018-09-09,3,100,47,0,0,False,2,1,2,5,2,False,1,1,2,1,0,False,3,2,4,0,1,False,3,4,2,3,6,False,0,3,6,27,8,False,1,36,4,1,9,False,3,16,5,4,0,False,5,76,2,9,17,False,3,1,37,82,5,False
2018-09-16,11,11,46,0,0,False,2,1,2,4,2,False,1,1,2,1,0,False,4,3,4,0,1,False,1,3,2,3,7,False,0,6,5,23,8,False,1,26,5,2,9,False,2,19,5,5,0,False,9,87,2,14,7,False,3,1,37,80,5,False
2018-09-23,56,2,62,0,0,False,1,1,1,3,2,False,1,1,2,1,0,False,5,4,5,1,1,False,0,3,2,3,6,False,0,5,27,24,8,False,1,23,5,1,9,False,2,14,6,5,0,False,2,100,2,14,6,False,3,1,35,81,6,False
2018-09-30,46,1,47,0,0,False,2,1,1,3,2,False,0,1,2,1,0,False,6,6,4,0,1,False,0,3,2,2,7,False,0,5,42,24,19,False,1,22,5,1,10,False,2,17,13,5,0,False,4,87,4,13,6,False,4,1,35,84,6,False
2018-10-07,13,1,49,0,0,False,2,1,1,3,2,False,1,1,2,0,0,False,12,5,5,0,1,False,0,3,2,2,13,False,0,4,12,27,19,False,0,39,5,1,9,False,2,14,12,10,0,False,4,79,1,20,5,False,7,1,37,80,5,False
2018-10-14,2,0,48,0,0,False,3,1,1,3,2,False,0,1,2,0,0,False,69,9,17,1,1,False,0,2,2,2,11,False,0,4,8,26,12,False,0,20,4,1,12,False,2,16,17,7,0,False,3,74,1,8,5,False,13,1,38,79,5,False
2018-10-21,1,0,51,0,0,False,2,1,1,3,2,False,0,1,2,0,0,False,91,34,10,1,1,False,0,2,2,2,13,False,0,4,6,24,6,False,0,14,5,1,14,False,2,24,28,8,0,False,3,74,1,12,5,False,15,1,39,81,5,False
2018-10-28,1,0,48,0,0,False,2,1,0,3,2,False,0,1,2,1,0,False,6,43,8,1,1,False,0,2,2,2,12,False,0,3,5,23,8,False,1,16,6,1,11,False,2,30,17,7,0,False,3,72,1,12,7,False,11,1,43,82,6,False
2018-11-04,2,0,42,0,0,False,2,1,7,2,2,False,1,1,2,1,0,False,4,29,5,1,1,False,0,2,4,3,10,False,1,4,5,24,5,False,2,18,7,1,10,False,2,38,18,6,0,False,2,71,1,8,5,False,1,1,37,81,5,False
2018-11-11,1,0,40,0,0,False,3,1,1,3,2,False,1,1,2,1,0,False,3,23,6,0,1,False,0,2,3,2,11,False,1,4,5,24,4,False,1,18,6,1,12,False,2,18,18,6,1,False,2,72,1,12,5,False,0,1,37,83,6,False
2018-11-18,0,0,41,0,0,False,3,1,0,3,4,False,1,1,2,0,0,False,3,21,5,0,1,False,0,2,2,2,10,False,0,4,5,21,4,False,1,14,7,2,14,False,2,20,18,6,1,False,2,69,1,11,4,False,0,1,38,78,5,False
2018-11-25,0,0,44,0,1,False,6,0,0,3,3,False,1,1,2,0,0,False,3,21,6,1,1,False,2,2,4,2,10,False,1,4,7,23,4,False,2,22,5,2,11,False,2,16,15,6,1,False,3,74,1,10,5,False,0,1,38,86,5,False
2018-12-02,0,0,57,0,0,False,17,0,0,3,3,False,1,1,2,0,0,False,3,14,7,1,1,False,1,3,5,2,14,False,1,3,6,24,4,False,2,18,5,2,11,False,2,15,15,9,1,False,2,73,2,13,6,False,1,1,39,81,5,False
2018-12-09,0,0,48,0,3,False,4,0,0,3,3,False,1,3,2,0,0,False,3,11,9,1,1,False,0,3,4,2,13,False,1,3,5,24,8,False,2,22,4,3,11,False,2,16,17,7,0,False,3,69,1,13,7,False,1,1,39,83,6,False
2018-12-16,0,0,50,0,0,False,2,0,0,3,3,False,1,1,2,0,3,False,3,10,7,0,1,False,0,2,3,2,18,False,1,4,6,24,6,False,1,15,4,5,11,False,2,14,16,10,0,False,3,70,1,14,5,False,1,1,43,82,6,False
2018-12-23,0,0,62,0,0,False,3,1,0,3,4,False,0,1,1,0,3,False,8,13,8,0,1,False,0,5,3,2,21,False,1,3,100,26,4,False,1,18,6,3,23,False,2,15,23,12,0,False,3,73,1,14,5,False,0,1,62,91,6,False
2018-12-30,0,0,55,0,0,False,3,1,0,4,3,False,0,1,1,0,4,False,10,11,7,1,1,False,0,4,3,2,16,False,1,3,10,28,5,False,1,16,6,4,15,False,2,15,14,8,0,False,4,74,1,17,4,False,0,1,60,100,6,False
