date,omicron,brian laundrie,gabby petito,delta variant,vaccine mandate,isPartial,shiba inu coin,dogecoin,dmx,marjorie taylor greene,johnson and johnson vaccine,isPartial,capitol,deshaun watson,crypto,cardano,amc stock,isPartial,taliban,afghanistan,afghanistan news,ethereum,justin fields,isPartial,aaron rodgers,myanmar,covid vaccine,britney spears,ted cruz,isPartial,amc,vaccine,russell wilson,tiger woods,washington football team,isPartial,gamestop,kyle rittenhouse,student loan forgiveness,bitcoin,bitcoin price,isPartial,immigration news,phoenix suns,nba scores,ukraine,atlanta braves,isPartial,aew,knicks,elon musk,yankees,kim kardashian,isPartial,israel,traductor,dodgers,chicago bears,ethiopia,isPartial
2020-12-27,0,0,0,0,0,False,0,2,1,0,0,False,2,0,7,1,0,False,0,1,0,4,1,False,2,5,34,2,1,False,3,38,0,1,2,False,10,0,0,52,14,False,1,2,31,7,1,False,7,15,15,6,13,False,6,66,1,1,1,False
2021-01-03,0,0,0,0,0,False,0,3,0,0,0,False,100,2,12,2,0,False,0,1,0,11,1,False,2,5,48,2,7,False,2,46,0,1,2,False,7,0,0,90,23,False,1,2,29,7,1,False,4,13,72,6,56,False,6,74,1,1,1,False
2021-01-10,0,0,0,0,0,False,0,1,0,1,1,False,39,2,11,2,1,False,0,2,0,9,1,False,2,5,67,2,3,False,2,61,0,2,2,False,7,1,1,85,23,False,1,1,25,7,1,False,3,12,54,7,21,False,6,80,1,2,1,False
2021-01-17,0,0,0,0,0,False,0,1,0,1,1,False,17,3,10,2,1,False,0,3,0,8,0,False,3,5,65,2,3,False,3,66,0,3,0,False,9,0,1,53,15,False,1,1,30,7,1,False,3,16,29,7,15,False,6,83,1,1,1,False
2021-01-24,0,0,0,0,0,False,0,26,0,3,2,False,7,3,12,1,48,False,0,3,0,7,0,False,6,5,68,2,2,False,30,62,0,1,0,False,80,0,1,50,14,False,1,1,27,7,1,False,3,10,45,9,13,False,7,82,1,0,1,False
2021-01-31,0,0,0,0,0,False,0,20,0,6,1,False,7,3,16,3,35,False,0,1,0,9,0,False,2,21,61,3,1,False,24,63,0,1,0,False,38,1,1,44,12,False,1,1,28,7,1,False,3,11,42,7,13,False,6,81,1,1,1,False
2021-02-07,0,0,0,0,0,False,0,22,0,1,1,False,8,1,22,6,8,False,0,2,0,10,0,False,7,10,65,21,1,False,7,63,1,1,0,False,12,0,1,85,21,False,1,1,28,7,1,False,3,14,43,7,15,False,6,89,1,1,1,False
2021-02-14,0,0,0,0,0,False,0,10,1,0,1,False,5,1,21,5,4,False,1,2,0,9,0,False,1,8,62,13,13,False,5,60,1,1,0,False,9,0,1,75,20,False,1,2,29,7,1,False,3,12,31,7,28,False,7,88,1,1,1,False
2021-02-21,0,0,0,0,0,False,0,6,0,1,2,False,5,2,19,8,11,False,0,2,0,9,0,False,3,7,71,7,5,False,9,69,1,32,0,False,14,0,1,85,24,False,1,2,28,7,1,False,5,13,31,7,24,False,7,96,1,1,1,False
2021-02-28,0,0,0,0,0,False,0,4,0,0,4,False,5,1,15,7,7,False,0,3,0,6,0,False,1,11,87,6,1,False,6,82,1,4,0,False,10,0,0,54,15,False,1,2,25,7,2,False,7,14,29,11,17,False,7,92,1,1,1,False
