date,hurricane ian,wordle,monkeypox,ukraine news,ukraine war,isPartial,zelensky,chris rock,ukraine,washington commanders,kherson,isPartial,brittney griner,hurricane ian tracker,ukraine russia,russia ukraine,putin,isPartial,russian economy,will smith,recession,iphone 14,world cup,isPartial,nato,amber heard,johnny depp,russia,elon musk twitter,isPartial,russia news,vladimir putin,abortion,tyrann mathieu,queen elizabeth,isPartial,inflation,traductor,poland,习近平,supreme court,isPartial,mega millions,kanye west,powerball numbers,elon musk,phillies,isPartial,lauren boebert,student loan forgiveness,antonio brown,housing market,student loans,isPartial,odell beckham jr,taiwan,real madrid,north korea,tom brady,isPartial
2021-12-26,0,0,0,0,0,False,0,0,1,0,0,False,0,0,0,0,2,False,0,0,0,0,1,False,1,0,1,3,0,False,0,0,2,0,2,False,2,58,2,0,1,False,5,3,6,7,0,False,1,1,2,2,4,False,0,5,8,1,2,False
2022-01-02,0,4,0,0,0,False,0,0,1,0,0,False,0,0,0,0,1,False,0,0,0,0,1,False,1,0,1,3,0,False,0,0,2,0,2,False,3,71,2,0,3,False,6,4,12,7,0,False,0,1,100,2,5,False,0,6,24,1,3,False
2022-01-09,0,15,0,0,0,False,0,0,1,0,0,False,0,0,1,1,2,False,0,0,0,0,1,False,1,0,1,4,0,False,0,0,2,0,2,False,3,78,2,0,5,False,4,5,2,6,0,False,0,1,8,2,6,False,0,6,35,1,3,False
2022-01-16,0,30,0,1,0,False,0,0,3,0,0,False,0,0,3,3,2,False,0,0,0,0,1,False,2,0,1,6,0,False,1,0,2,0,1,False,3,77,2,0,2,False,4,5,1,6,0,False,0,1,3,1,4,False,0,5,28,1,4,False
2022-01-23,0,49,0,2,1,False,0,0,6,0,0,False,0,0,7,8,4,False,0,0,0,0,1,False,3,0,1,11,0,False,2,0,2,0,1,False,3,81,3,0,3,False,5,4,1,7,0,False,0,1,5,2,4,False,0,6,15,1,15,False
2022-01-30,0,73,0,1,0,False,0,0,3,1,0,False,0,0,4,4,4,False,0,0,0,0,3,False,2,0,1,7,0,False,1,0,2,0,2,False,3,89,3,0,2,False,3,4,2,7,0,False,0,1,1,2,4,False,1,5,19,1,20,False
2022-02-06,0,84,0,2,0,False,0,0,6,0,0,False,0,0,6,6,6,False,0,0,0,0,1,False,2,0,1,10,0,False,2,1,2,0,2,False,4,85,3,0,2,False,2,5,2,6,0,False,0,1,1,2,4,False,0,6,21,1,3,False
2022-02-13,0,100,0,7,1,False,0,0,13,0,0,False,0,0,18,18,10,False,0,0,0,0,1,False,4,0,1,20,0,False,6,1,2,0,2,False,3,87,3,0,2,False,2,15,2,6,0,False,0,1,1,2,4,False,4,6,56,1,3,False
2022-02-20,0,87,0,40,15,False,2,0,100,0,0,False,0,0,100,98,81,False,0,0,0,0,1,False,32,0,1,100,0,False,25,10,2,0,8,False,3,86,6,0,3,False,2,8,2,6,0,False,0,1,1,3,4,False,0,14,17,2,1,False
2022-02-27,0,85,0,45,16,False,5,0,90,0,0,False,1,0,68,67,87,False,0,0,0,0,2,False,20,0,1,84,0,False,21,10,2,0,2,False,3,84,6,0,2,False,2,8,1,10,0,False,5,1,1,2,4,False,0,10,17,3,1,False
2022-03-06,0,76,0,20,9,False,2,0,45,0,0,False,2,0,27,28,39,False,0,0,0,0,1,False,8,0,1,38,0,False,10,4,2,0,2,False,4,88,5,0,2,False,2,5,1,10,1,False,1,2,1,2,5,False,0,7,55,1,1,False
2022-03-13,0,77,0,14,6,False,2,0,30,0,0,False,1,0,18,18,27,False,0,0,0,0,1,False,6,0,1,25,0,False,6,2,2,1,2,False,3,87,4,0,2,False,2,7,1,11,2,False,0,1,1,2,5,False,0,8,24,1,11,False
2022-03-20,0,79,0,11,5,False,1,0,23,0,0,False,1,0,14,14,19,False,0,0,0,0,4,False,5,0,1,20,0,False,5,2,2,1,2,False,3,86,4,0,5,False,2,5,1,6,2,False,0,1,1,3,5,False,0,7,39,2,2,False
2022-03-27,0,85,0,8,4,False,1,23,17,0,0,False,0,0,10,10,14,False,0,20,0,0,6,False,3,0,1,15,0,False,3,2,2,0,2,False,3,87,4,0,3,False,2,4,1,6,1,False,0,1,1,3,5,False,0,6,15,1,2,False
2022-04-03,0,79,0,7,4,False,1,2,16,0,0,False,0,0,8,8,12,False,0,3,0,0,2,False,3,0,1,13,1,False,3,1,2,0,2,False,3,91,3,0,4,False,2,3,2,12,3,False,1,2,1,3,8,False,0,6,48,1,1,False
2022-04-10,0,77,0,7,4,False,0,1,13,0,0,False,0,0,8,8,10,False,0,1,0,0,1,False,4,4,5,11,1,False,3,1,2,0,2,False,4,74,3,0,2,False,2,3,2,22,5,False,0,1,1,3,5,False,0,7,55,1,1,False
