date,damar hamlin,gaza,damar hamlin update,bud light,travis kelce,isPartial,vivek ramaswamy,first republic bank,chatgpt,palestine,matthew perry,isPartial,chat gpt,government shutdown,bryan kohberger,israel,israel news,isPartial,ai,chris christie,taylor swift,military news,shohei ohtani,isPartial,ufo,kevin mccarthy,lamar jackson,messi,cybertruck,isPartial,desantis,layoffs,ron desantis,artificial intelligence,aaron rodgers,isPartial,buffalo bills,eagles,derrick henry,detroit lions,chiefs,isPartial,xrp,weather today,britney spears,miami heat,lebron james,isPartial,prince harry,nvidia,turkey,real madrid,wwe,isPartial,wwe news,tesla,philadelphia eagles,lakers,donald trump,isPartial
2023-01-01,100,0,14,0,0,False,0,0,8,1,0,False,5,0,2,3,0,False,34,0,8,0,0,False,5,16,2,47,1,False,3,9,2,6,6,False,57,31,1,6,31,False,2,56,5,3,8,False,6,7,15,30,9,False,0,33,2,12,3,False
2023-01-08,6,0,1,0,0,False,0,0,13,1,0,False,8,0,1,3,0,False,39,0,8,0,0,False,4,3,4,39,1,False,3,9,1,7,15,False,13,30,1,9,19,False,3,61,4,3,7,False,13,7,14,33,11,False,1,33,2,15,2,False
2023-01-15,2,0,0,0,0,False,0,0,16,1,0,False,9,0,0,3,0,False,39,0,8,0,0,False,4,0,4,40,1,False,5,22,2,7,5,False,16,30,0,2,39,False,3,49,6,2,9,False,5,6,14,63,9,False,0,33,2,16,2,False
2023-01-22,3,0,0,0,1,False,0,0,20,1,0,False,10,0,0,3,0,False,42,0,9,0,0,False,4,1,2,34,1,False,5,19,2,8,6,False,15,75,0,2,38,False,3,55,5,3,9,False,3,7,14,51,11,False,0,35,4,17,2,False
2023-01-29,1,0,0,0,3,False,0,0,24,1,0,False,13,0,0,4,0,False,47,0,8,0,0,False,4,0,1,31,1,False,7,13,3,9,7,False,2,100,0,1,98,False,3,51,4,3,12,False,2,7,13,40,14,False,1,32,6,24,2,False
2023-02-05,1,0,0,0,1,False,0,0,30,2,0,False,14,0,0,3,0,False,52,0,11,0,0,False,7,1,1,33,1,False,8,12,3,9,6,False,2,33,0,1,25,False,3,35,4,3,32,False,2,7,68,67,10,False,0,30,3,32,2,False
2023-02-12,2,0,0,1,5,False,0,0,30,5,0,False,13,0,0,3,0,False,47,0,8,0,0,False,29,0,1,27,1,False,6,9,3,8,7,False,2,81,0,1,76,False,2,28,4,3,9,False,2,7,29,37,10,False,0,31,6,17,3,False
2023-02-19,0,0,0,0,1,False,0,0,30,2,0,False,12,0,0,3,0,False,51,0,7,0,0,False,6,0,2,32,1,False,7,7,3,9,8,False,1,12,0,1,13,False,2,32,4,3,7,False,2,7,22,80,12,False,1,29,1,11,2,False
2023-02-26,0,0,0,0,0,False,0,0,26,1,0,False,14,0,0,3,0,False,49,0,8,0,0,False,5,0,3,40,1,False,10,7,5,8,7,False,1,11,0,1,8,False,2,35,3,3,8,False,2,7,16,52,9,False,0,36,0,20,2,False
2023-03-05,0,0,0,0,1,False,0,0,28,1,0,False,14,0,0,3,0,False,49,0,8,0,0,False,4,0,5,31,1,False,9,8,5,8,17,False,1,11,1,2,7,False,3,30,3,3,6,False,2,6,14,39,10,False,0,29,1,17,2,False
2023-03-12,0,0,0,0,0,False,0,3,31,1,0,False,17,0,0,3,0,False,50,0,14,0,0,False,4,0,4,30,1,False,9,8,5,8,50,False,3,14,1,4,12,False,3,50,3,2,5,False,1,7,13,55,11,False,0,25,1,18,3,False
2023-03-19,0,0,0,0,0,False,0,1,36,1,0,False,19,0,0,3,0,False,56,0,19,0,1,False,4,0,3,34,0,False,9,11,4,8,10,False,3,12,1,3,7,False,6,69,3,2,5,False,1,7,15,47,11,False,0,25,1,18,12,False
2023-03-26,0,0,0,0,0,False,0,0,37,1,0,False,18,0,0,5,0,False,59,0,14,0,1,False,4,0,5,33,1,False,11,9,4,11,6,False,2,11,0,2,8,False,8,61,3,3,6,False,2,7,15,13,11,False,0,26,1,19,9,False
2023-04-02,0,1,0,8,0,False,0,0,35,1,0,False,15,0,0,5,0,False,59,0,14,0,0,False,4,0,2,36,1,False,10,9,5,10,6,False,1,11,1,2,7,False,5,52,3,3,7,False,1,6,15,70,21,False,1,29,0,26,17,False
2023-04-09,0,0,0,7,0,False,0,0,36,1,0,False,17,0,0,5,0,False,69,0,22,0,0,False,4,0,2,30,1,False,9,5,4,9,5,False,1,9,0,2,6,False,4,43,3,6,6,False,2,6,15,63,11,False,0,27,0,23,4,False
2023-04-16,0,0,0,4,0,False,0,0,37,1,0,False,17,0,0,3,0,False,79,0,16,0,0,False,5,0,2,28,1,False,14,9,7,10,8,False,1,10,1,2,9,False,4,68,3,5,6,False,1,6,14,60,10,False,0,31,1,27,3,False
2023-04-23,0,0,0,3,0,False,0,2,39,1,0,False,17,0,0,3,0,False,84,0,17,0,0,False,5,0,5,28,1,False,13,9,6,10,24,False,3,18,2,5,13,False,4,61,3,11,9,False,1,6,15,49,11,False,0,28,1,49,3,False
2023-04-30,0,0,0,2,0,False,0,2,35,1,0,False,16,0,0,3,0,False,96,0,18,0,0,False,5,0,1,38,1,False,10,6,4,11,4,False,2,11,0,2,13,False,3,78,3,9,10,False,4,6,14,52,11,False,0,26,1,50,3,False
2023-05-07,0,1,0,2,0,False,0,0,39,1,0,False,17,0,0,4,0,False,92,0,20,0,0,False,4,0,1,36,1,False,11,6,6,11,2,False,2,12,0,2,9,False,3,56,4,13,12,False,4,5,15,99,12,False,0,25,1,100,5,False
2023-05-14,0,0,0,1,0,False,0,0,37,1,0,False,15,0,0,4,0,False,89,0,19,0,0,False,4,0,0,27,1,False,17,5,7,10,2,False,1,10,0,2,7,False,3,59,5,13,10,False,3,6,22,100,10,False,1,25,0,54,3,False
2023-05-21,0,0,0,2,0,False,0,0,39,1,0,False,16,0,0,3,0,False,88,0,20,0,0,False,4,0,0,27,1,False,41,6,21,11,4,False,1,9,0,2,5,False,3,73,4,26,13,False,2,10,14,45,10,False,0,26,0,52,2,False
2023-05-28,0,0,0,2,0,False,0,0,36,1,0,False,15,0,0,3,0,False,87,0,23,0,0,False,5,1,0,40,1,False,17,3,9,10,3,False,2,9,0,1,5,False,5,80,3,33,6,False,2,10,17,16,10,False,0,26,0,5,2,False
2023-06-04,0,0,0,1,0,False,0,0,34,1,0,False,14,0,0,3,0,False,85,1,25,0,0,False,8,0,0,100,1,False,11,4,5,11,2,False,2,9,0,1,6,False,5,70,4,30,6,False,3,7,14,27,9,False,0,29,0,4,4,False
2023-06-11,0,0,0,2,0,False,0,0,35,1,0,False,14,0,0,3,0,False,93,0,21,0,1,False,8,0,0,41,1,False,8,4,4,10,2,False,2,8,0,1,7,False,5,82,5,14,4,False,2,8,14,18,8,False,1,30,0,4,7,False
2023-06-18,0,0,0,1,0,False,0,0,34,1,0,False,12,0,0,3,0,False,87,0,33,0,1,False,6,0,0,47,1,False,7,4,4,10,3,False,2,9,0,2,8,False,5,100,4,3,5,False,1,7,14,15,9,False,0,30,0,6,3,False
2023-06-25,0,0,0,2,0,False,0,0,30,1,0,False,10,0,0,3,0,False,87,0,31,0,1,False,5,0,0,32,1,False,8,11,4,9,1,False,2,8,0,1,6,False,4,95,4,3,4,False,1,7,13,14,11,False,0,29,0,7,3,False
2023-07-02,0,0,0,1,0,False,0,0,30,1,0,False,10,0,0,3,0,False,86,0,36,0,1,False,5,0,0,27,1,False,14,8,7,9,2,False,1,11,0,1,6,False,4,99,9,4,4,False,1,7,14,15,10,False,0,30,0,7,2,False
2023-07-09,0,0,0,1,0,False,0,0,31,1,0,False,10,0,0,3,0,False,92,0,36,0,1,False,5,0,0,28,1,False,12,4,7,10,2,False,2,11,0,1,7,False,17,98,7,3,5,False,1,7,15,14,9,False,0,30,0,5,2,False
2023-07-16,0,0,0,1,0,False,0,0,27,1,0,False,8,0,0,3,0,False,97,0,23,0,1,False,5,0,0,56,2,False,9,3,5,10,3,False,2,10,0,2,8,False,14,91,5,2,5,False,1,7,14,15,9,False,0,34,0,4,3,False
2023-07-23,0,0,0,1,1,False,0,0,27,1,0,False,8,0,0,3,0,False,85,0,22,0,1,False,17,0,0,44,1,False,11,4,6,10,5,False,2,17,0,2,8,False,8,98,5,2,13,False,1,7,14,71,9,False,0,32,0,4,3,False
2023-07-30,0,0,0,1,0,False,1,0,27,1,0,False,8,0,0,3,0,False,86,0,28,0,1,False,9,0,0,36,1,False,8,5,3,9,5,False,2,14,0,2,8,False,7,69,4,2,4,False,1,7,13,36,10,False,0,28,1,3,5,False
2023-08-06,0,0,0,1,0,False,1,0,28,1,0,False,8,0,0,3,0,False,80,0,34,0,1,False,6,0,0,39,1,False,8,4,3,8,5,False,3,14,0,4,15,False,6,60,4,2,3,False,1,7,13,26,13,False,0,28,1,4,3,False
2023-08-13,0,0,0,1,0,False,1,0,28,1,0,False,8,0,0,3,0,False,87,0,21,0,1,False,5,0,0,38,1,False,7,4,2,8,4,False,3,20,0,4,20,False,6,61,12,2,3,False,1,7,13,30,10,False,0,29,1,4,5,False
2023-08-20,0,0,0,1,0,False,3,0,28,1,0,False,9,0,0,3,0,False,84,1,20,0,1,False,4,0,1,41,1,False,11,4,5,9,4,False,4,16,0,4,19,False,5,69,10,1,3,False,1,12,13,29,12,False,1,29,1,3,15,False
2023-08-27,0,0,0,0,0,False,2,0,32,1,0,False,10,0,0,3,0,False,82,0,22,0,1,False,4,0,1,32,1,False,8,4,4,9,6,False,4,16,1,4,20,False,4,56,5,1,3,False,1,8,13,31,11,False,0,31,1,3,6,False
2023-09-03,0,0,0,0,4,False,1,0,32,1,0,False,10,0,0,3,0,False,79,0,17,0,0,False,4,0,1,33,1,False,5,3,2,8,5,False,3,17,1,12,51,False,4,68,5,1,3,False,1,8,15,15,11,False,0,29,1,4,4,False
2023-09-10,0,0,0,0,3,False,0,0,33,1,0,False,11,0,0,4,0,False,81,0,21,0,1,False,6,1,1,29,1,False,3,5,1,10,100,False,9,60,1,4,15,False,4,80,7,1,3,False,1,7,14,14,9,False,0,28,4,3,3,False
2023-09-17,0,0,0,0,4,False,0,0,36,1,0,False,12,1,0,3,0,False,81,0,40,0,1,False,4,0,1,30,1,False,3,4,1,9,7,False,6,19,1,7,30,False,4,73,4,1,3,False,1,7,13,49,10,False,0,27,1,3,4,False
2023-09-24,0,0,0,0,20,False,1,0,40,1,0,False,12,5,0,3,0,False,90,0,39,0,0,False,4,1,1,27,1,False,5,4,2,9,5,False,6,38,1,12,37,False,4,56,7,2,3,False,1,7,13,57,8,False,0,28,3,3,4,False
