year,keyword,date,value
2015,date,2015-12-27,2015-12-27 00:00:00
2015,date,2015-12-20,2015-12-20 00:00:00
2015,date,2015-12-13,2015-12-13 00:00:00
2015,donald trump,2015-12-06,53
2015,donald trump,2015-08-23,36
2015,donald trump,2015-12-13,31
2015,trump,2015-12-06,89
2015,trump,2015-12-13,59
2015,trump,2015-08-23,55
2015,bernie sanders,2015-10-11,20
2015,bernie sanders,2015-08-09,17
2015,bernie sanders,2015-09-13,13
2015,ashley madison,2015-08-16,78
2015,ashley madison,2015-08-23,67
2015,ashley madison,2015-07-19,27
2015,bobbi kristina,2015-02-01,100
2015,bobbi kristina,2015-02-08,75
2015,bobbi kristina,2015-07-26,41
2015,alexis tsipras,2015-01-25,13
2015,alexis tsipras,2015-07-05,9
2015,alexis tsipras,2015-06-28,7
2015,"floyd mayweather, jr.",2015-04-26,1
2015,"floyd mayweather, jr.",2015-05-03,1
2015,"floyd mayweather, jr.",2014-12-28,0
2015,jordan spieth,2015-04-12,100
2015,jordan spieth,2015-04-05,44
2015,jordan spieth,2015-06-21,34
2015,volkswagen passenger cars,2014-12-28,0
2015,volkswagen passenger cars,2015-01-04,0
2015,volkswagen passenger cars,2015-01-11,0
2015,planned parenthood,2015-08-02,66
2015,planned parenthood,2015-07-26,63
2015,planned parenthood,2015-11-29,57
2015,isPartial.1,2014-12-28,False
2015,isPartial.1,2015-01-04,False
2015,isPartial.1,2015-01-11,False
2015,windows 10,2015-07-26,100
2015,windows 10,2015-08-02,85
2015,windows 10,2015-08-09,66
2015,ben carson,2015-10-25,4
2015,ben carson,2015-11-01,4
2015,ben carson,2015-11-08,4
2015,brian williams,2015-02-08,10
2015,brian williams,2015-02-01,5
2015,brian williams,2015-02-15,2
2015,lamar odom,2015-10-11,73
2015,lamar odom,2015-10-18,21
2015,lamar odom,2015-10-25,6
2015,ronda rousey,2015-11-15,50
2015,ronda rousey,2015-08-02,38
2015,ronda rousey,2015-03-01,10
2015,isPartial.2,2014-12-28,False
2015,isPartial.2,2015-01-04,False
2015,isPartial.2,2015-01-11,False
2015,new horizons,2015-07-12,17
2015,new horizons,2015-07-05,3
2015,new horizons,2015-07-19,3
2015,jeb bush,2015-06-14,7
2015,jeb bush,2015-09-13,4
2015,jeb bush,2015-07-05,2
2015,san bernardino,2015-11-29,58
2015,san bernardino,2015-12-06,10
2015,san bernardino,2015-12-13,4
2015,tom brady,2015-02-01,30
2015,tom brady,2015-01-18,14
2015,tom brady,2015-05-10,12
2015,bruce jenner,2015-05-31,100
2015,bruce jenner,2015-04-19,59
2015,bruce jenner,2015-04-26,38
2015,isPartial.3,2014-12-28,False
2015,isPartial.3,2015-01-04,False
2015,isPartial.3,2015-01-11,False
2015,yemen,2015-03-22,6
2015,yemen,2015-03-29,5
2015,yemen,2015-04-05,4
2015,fallout 4,2015-11-08,100
2015,fallout 4,2015-11-15,87
2015,fallout 4,2015-11-22,69
2015,greece,2015-07-05,28
2015,greece,2015-06-28,27
2015,greece,2015-07-12,17
2015,ted cruz,2015-03-22,8
2015,ted cruz,2015-12-13,3
2015,ted cruz,2015-12-06,2
2015,nepal,2015-04-26,96
2015,nepal,2015-05-10,25
2015,nepal,2015-04-19,21
2015,isPartial.4,2014-12-28,False
2015,isPartial.4,2015-01-04,False
2015,isPartial.4,2015-01-11,False
2015,paris,2015-11-08,100
2015,paris,2015-11-15,66
2015,paris,2015-01-04,35
2015,duggar,2015-05-17,6
2015,duggar,2015-05-24,5
2015,duggar,2015-05-31,4
2015,jon stewart,2015-02-08,2
2015,jon stewart,2015-08-02,2
2015,jon stewart,2015-06-14,1
2015,golden state warriors,2015-06-14,3
2015,golden state warriors,2015-05-24,2
2015,golden state warriors,2015-05-31,2
2015,hillary clinton,2015-04-12,4
2015,hillary clinton,2015-10-18,2
2015,hillary clinton,2015-03-08,1
2015,isPartial.5,2014-12-28,False
2015,isPartial.5,2015-01-04,False
2015,isPartial.5,2015-01-11,False
2015,hillary rodham clinton,2014-12-28,0
2015,hillary rodham clinton,2015-01-04,0
2015,hillary rodham clinton,2015-01-11,0
2015,kylie jenner,2015-04-19,73
2015,kylie jenner,2015-08-09,50
2015,kylie jenner,2015-04-26,31
2015,david cameron,2015-09-20,16
2015,david cameron,2015-05-03,10
2015,david cameron,2015-05-10,4
2015,airasia,2014-12-28,100
2015,airasia,2015-01-04,29
2015,airasia,2015-01-11,22
2015,blake shelton,2015-07-19,24
2015,blake shelton,2015-11-01,22
2015,blake shelton,2015-11-08,14
2015,isPartial.6,2014-12-28,False
2015,isPartial.6,2015-01-04,False
2015,isPartial.6,2015-01-11,False
2015,charlie sheen,2015-11-15,100
2015,charlie sheen,2015-11-22,16
2015,charlie sheen,2015-11-29,7
2015,new york mets,2015-10-11,5
2015,new york mets,2015-10-18,5
2015,new york mets,2015-10-25,5
2015,chicago cubs,2015-10-11,20
2015,chicago cubs,2015-10-18,18
2015,chicago cubs,2015-10-04,13
2015,james bond,2015-11-08,38
2015,james bond,2015-11-01,36
2015,james bond,2015-10-25,26
2015,persib,2015-10-18,16
2015,persib,2015-02-01,10
2015,persib,2015-02-08,10
2015,isPartial.7,2014-12-28,False
2015,isPartial.7,2015-01-04,False
2015,isPartial.7,2015-01-11,False
2015,stock stock,2015-08-23,100
2015,stock stock,2015-07-05,67
2015,stock stock,2015-08-16,65
2015,scott walker,2015-07-12,3
2015,scott walker,2015-09-20,3
2015,scott walker,2015-08-02,2
2015,saudi arabia,2015-01-18,12
2015,saudi arabia,2015-01-25,10
2015,saudi arabia,2015-09-20,10
2015,boston marathon bombings,2014-12-28,0
2015,boston marathon bombings,2015-01-04,0
2015,boston marathon bombings,2015-01-11,0
2015,apple inc.,2014-12-28,0
2015,apple inc.,2015-01-04,0
2015,apple inc.,2015-01-11,0
2015,isPartial.8,2014-12-28,False
2015,isPartial.8,2015-01-04,False
2015,isPartial.8,2015-01-11,False
2015,manny pacquiao,2015-05-03,36
2015,manny pacquiao,2015-04-26,29
2015,manny pacquiao,2015-04-19,6
2015,serena williams,2015-09-06,21
2015,serena williams,2015-07-05,15
2015,serena williams,2015-05-31,9
2015,rand paul,2015-04-05,5
2015,rand paul,2015-04-12,2
2015,rand paul,2015-08-02,2
2015,baltimore,2015-04-26,100
2015,baltimore,2015-05-03,18
2015,baltimore,2015-01-04,14
2015,aaron hernandez,2015-04-12,17
2015,aaron hernandez,2015-04-05,4
2015,aaron hernandez,2015-01-25,2
2015,isPartial.9,2014-12-28,False
2015,isPartial.9,2015-01-04,False
2015,isPartial.9,2015-01-11,False
2016,date,2016-12-25,2016-12-25 00:00:00
2016,date,2016-12-18,2016-12-18 00:00:00
2016,date,2016-12-11,2016-12-11 00:00:00
2016,zika virus,2016-01-31,17
2016,zika virus,2016-01-24,13
2016,zika virus,2016-02-07,8
2016,brexit,2016-06-19,100
2016,brexit,2016-06-26,33
2016,brexit,2016-06-12,12
2016,rodrigo duterte,2016-05-08,1
2016,rodrigo duterte,2015-12-27,0
2016,rodrigo duterte,2016-01-03,0
2016,egyptair,2016-05-15,7
2016,egyptair,2016-05-22,3
2016,egyptair,2016-03-27,1
2016,ryan lochte,2016-08-14,11
2016,ryan lochte,2016-08-21,6
2016,ryan lochte,2016-08-07,5
2016,pokemon go,2016-07-10,100
2016,pokemon go,2016-07-17,78
2016,pokemon go,2016-07-31,54
2016,aleppo,2016-12-11,4
2016,aleppo,2016-12-18,2
2016,aleppo,2016-09-04,1
2016,mike pence,2016-07-10,2
2016,mike pence,2016-07-17,1
2016,mike pence,2016-10-02,1
2016,overwatch,2016-05-22,6
2016,overwatch,2016-05-29,6
2016,overwatch,2016-06-05,5
2016,mosul,2016-10-16,1
2016,mosul,2016-10-30,1
2016,mosul,2015-12-27,0
2016,isPartial.1,2015-12-27,False
2016,isPartial.1,2016-01-03,False
2016,isPartial.1,2016-01-10,False
2016,david bowie,2016-01-10,100
2016,david bowie,2016-01-17,11
2016,david bowie,2016-01-24,5
2016,wikileaks,2016-10-16,6
2016,wikileaks,2016-10-30,6
2016,wikileaks,2016-10-09,5
2016,michael phelps,2016-08-07,41
2016,michael phelps,2016-08-14,11
2016,michael phelps,2016-06-26,3
2016,flint,2016-01-17,5
2016,flint,2016-01-24,3
2016,flint,2016-01-10,2
2016,colin kaepernick,2016-08-28,8
2016,colin kaepernick,2016-09-04,2
2016,colin kaepernick,2016-09-11,2
2016,isPartial.2,2015-12-27,False
2016,isPartial.2,2016-01-03,False
2016,isPartial.2,2016-01-10,False
2016,brad pitt,2016-09-18,23
2016,brad pitt,2016-09-25,8
2016,brad pitt,2016-10-02,5
2016,ahok,2016-10-30,8
2016,ahok,2016-11-13,5
2016,ahok,2016-11-06,4
2016,trump news,2016-11-06,9
